Category_ID,Category_Name,Category_Description
1,Overall Offense,The Overall Offense/Defense table provides a general breakdown for the selected team.
2,Play Types,The Play Types table provides a detailed breakdown of play type tendencies for the team selected
3,Offense Including Passes,"Includes all possessions that were derived from their respective play type, including passes that led to immediate possession ending events."
4,During Pass Out Situations,Only includes possessions where Synergy logged a defense commits situation.
5,During Trapping Situations,"Only includes possessions where the player's pick & roll or post-up possessions were defended by trapping or doubling, respectively."
6,Shot Attempt - Half Court,"Jump Shots:All jump shot attempts, excluding Post-Up, Transition, and Cut play type jump shots;Runner;Around Basket (not Post-Ups):All layup, dunk, and tip-in attempts from all play types, excluding Post-Ups and Transitions ;Post-Ups:All shot attempts derived from post-up offense. This number will match the FGA number from the post-ups row in the Play Typestable"
7,Catch and Shoot - Half Court,"Includes data when the player took a shot without dribbling from a Spot Up, Hand-off, P&R Roll Man-Pick and Pop, P&R Roll Man-Slips Pick, Off Screen, or Miscellaneous play type."
8,Dribble Jumper - Half Court,"Includes all jump shots where the player dribbled the ball prior to shooting, excluding Post-Up, Transition, and Cut play types."
9,Jump Shot Range - half court,Separates all of a player's jump shots into the distance from the rim where the shot was taken.
10,Drive Direction (ISO Situations),"Provides a breakdown by the direction a player drove the ball, to the right or left, from the Isolation play type. "
11,Isolation - Derived Offense,"When the possession ending event is created during a “one on one” matchup. The defender needs to be set and have all of his defensive options at the initiation of the play. If the defender is closing out on an offensive player such as in a spot up situation or an off screen situation and cannot get “whole” (on balance and set to defend), then it is not an Isolation play."
12,Isolation,"When the possession ending event is created during a “one on one” matchup. The defender needs to be set and have all of his defensive options at the initiation of the play. If the defender is closing out on an offensive player such as in a spot up situation or an off screen situation and cannot get “whole” (on balance and set to defend), then it is not an Isolation play."
13,ISO - Defense Commits,The “one on one” match-up results in defensive help or rotation.
14,Post-Up - Derived Offense,"When an offensive player receives the ball with their back to the basket and is less than 15' from the rim when the possession ending event occurs. Post players can attack over either shoulder, they can back their player down off the dribble, they can turn and face up their defender and there are a variety of moves they can make in all of these situations, yet they are all logged as post-ups. We also categorize flash posts in the paint as post-ups. Post-ups are handled like pick and rolls in the sense that if a double team occurs or, less extreme, if the defense commits and a rotation ensues, the post player is given credit for the ultimate outcome (a cut or a spot-up) as long as the defense never gets “whole” (in position to defend all 5 players). "
15,Post-Up,"When an offensive player receives the ball with their back to the basket and is less than 15' from the rim when the possession ending event occurs. Post players can attack over either shoulder, they can back their player down off the dribble, they can turn and face up their defender and there are a variety of moves they can make in all of these situations, yet they are all logged as post-ups. We also categorize flash posts in the paint as post-ups. Post-ups are handled like pick and rolls in the sense that if a double team occurs or, less extreme, if the defense commits and a rotation ensues, the post player is given credit for the ultimate outcome (a cut or a spot-up) as long as the defense never gets “whole” (in position to defend all 5 players). "
16,Post-Up - Defense Commits,"When an offensive player receives the ball with their back to the basket and is less than 15' from the rim when the possession ending event occurs. Post players can attack over either shoulder, they can back their player down off the dribble, they can turn and face up their defender and there are a variety of moves they can make in all of these situations, yet they are all logged as post-ups. We also categorize flash posts in the paint as post-ups. Post-ups are handled like pick and rolls in the sense that if a double team occurs or, less extreme, if the defense commits and a rotation ensues, the post player is given credit for the ultimate outcome (a cut or a spot-up) as long as the defense never gets “whole” (in position to defend all 5 players). "
17,Post-Up - Hard Double Team,"When an offensive player receives the ball with their back to the basket and is less than 15' from the rim when the possession ending event occurs. Post players can attack over either shoulder, they can back their player down off the dribble, they can turn and face up their defender and there are a variety of moves they can make in all of these situations, yet they are all logged as post-ups. We also categorize flash posts in the paint as post-ups. Post-ups are handled like pick and rolls in the sense that if a double team occurs or, less extreme, if the defense commits and a rotation ensues, the post player is given credit for the ultimate outcome (a cut or a spot-up) as long as the defense never gets “whole” (in position to defend all 5 players). "
18,P&R - Derived Offense,"A screen is set on the ball handler’s defender out on the perimeter. The offensive player can use the screen or go away from it and as long as the play yields a possession ending event, it is tagged as a pick and roll. It is important to note that pick and rolls frequently cause the defense to rotate resulting in ball movement with spot-ups, cuts or pick and pop/pick and rolls. These situations are defined in the Synergy system according to the ultimate play types that occur, but are also credited back to the ball handler as long as the defense never gets “whole” (in position to defend all 5 players). The ball handler is credited using our “defense commits” categories and displays such as “derived offense.” Pick and rolls also cause switches which can result in mismatches in the post or out on the perimeter (isolations). These plays are not credited back to the ball handler and are handled by the post-up and isolation play type categories only. "
