Team_Average_Stats_ID,Team_ID,Format_ID,Category_ID,Element_ID, %Time,Poss,Points,PPP,Rank,Rating,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1761,25,1,6,113,0.543,799,740,0.926,0.42,Average,529,270,799,0.338,0.463,0,0.001,0.001,0.338
1762,25,1,6,114,0.043,64,56,0.875,0.88,Excellent,44,20,64,0.313,0.438,0,0,0,0.313
1763,25,1,6,489,0.047,69,61,0.884,0.86,Excellent,40,29,69,0.42,0.42,0,0.043,0.043,0.42
1764,25,1,6,490,0.004,6,3,0.5,-,-,5,1,6,0.167,0.167,0,0.167,0.167,0.167
1765,25,1,6,5,0.358,527,597,1.133,0.63,Good,234,293,527,0.556,0.556,0,0.04,0.04,0.556
1766,25,1,6,392,0.052,77,102,1.325,0.99,Excellent,29,48,77,0.623,0.623,0,0.13,0.13,0.623
1767,25,1,6,394,0.001,2,2,1,-,-,1,1,2,0.5,0.5,0,0.5,0.5,0.5
1768,25,1,6,521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1769,25,2,6,113,0.54,809,797,0.985,0.32,Average,507,302,809,0.373,0.491,0,0.002,0.002,0.373
1770,25,2,6,114,0.035,52,40,0.769,0.27,Below Average,38,14,52,0.269,0.385,0,0,0,0.269
1771,25,2,6,489,0.055,82,55,0.671,0.69,Very Good,55,27,82,0.329,0.329,0,0.012,0.012,0.329
1772,25,2,6,490,0.003,4,0,0,-,-,4,0,4,0,0,0,0,0,0
1773,25,2,6,5,0.263,394,504,1.279,0.03,Poor,151,243,394,0.617,0.617,0,0.074,0.074,0.617
1774,25,2,6,392,0.143,214,225,1.051,0.29,Below Average,106,108,214,0.505,0.505,0,0.065,0.065,0.505
1775,25,2,6,394,0.003,4,6,1.5,-,-,1,3,4,0.75,0.75,0,0,0,0.75
1776,25,2,6,521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1777,24,1,6,113,0.521,743,733,0.987,0.66,Very Good,474,269,743,0.362,0.493,0,0.001,0.001,0.362
1778,24,1,6,114,0.025,35,12,0.343,0.09,Poor,31,4,35,0.114,0.171,0,0,0,0.114
