





CornellCollege
Eamon_Collins	1	1	0	0	0	0	0	-	0	0	0	0	0	0
Michael_Fiorito	14	217	0.67	0.16	71	19	21	0.90	7	13	0	23	2	21
Craig_Engle	12	222	0.49	0.09	52	14	13	1.08	2	10	0	13	1	12
Dylan_Murdock	5	19	0.38	0.26	2	1	1	1	1	1	0	3	0	3
Michael_Drew	14	270	0.81	0.29	74	14	18	0.78	10	13	0	56	9	47
Scott_Gasik	6	42	0.87	0.24	21	1	1	1	1	1	0	5	3	2
Cody_Carter	13	143	0.47	0.22	34	8	12	0.67	4	10	2	22	5	17
Kameron_Williams	3	25	0.29	0.24	5	0	0	-	1	0	0	3	1	2
Corey_Davis	14	338	1.54	0.51	178	58	53	1.09	40	34	3	67	11	56
Eric_Medenblik	1	1	-.90	0	0	0	0	-	0	0	0	0	0	0
Jordan_Venters	5	16	1.43	0.19	15	1	2	0.50	2	2	0	1	0	1
Keegan_Van_Kooten	14	156	0.38	0.24	27	7	13	0.54	6	8	5	20	7	13
Austin_Dyer	7	38	0.42	0.39	4	2	4	0.50	0	2	1	11	6	5
Jan_Siegien	12	153	0.46	0.08	48	4	10	0.40	4	7	1	14	0	14
Cooper_Kabela	14	152	0.76	0.23	42	6	8	0.75	2	6	2	26	5	21
Jon_Anderson	14	291	1.71	0.44	179	4	19	0.21	10	7	9	97	24	73
Carron_Watt	2	3	-.67	-.67	0	0	1	0	0	1	0	0	0	0
Brad_Hund	14	309	0.97	0.38	121	15	22	0.68	4	8	9	80	26	54
Jordan_Heien	2	4	0.74	0	1	0	0	-	0	0	0	0	0	0
Team_Totals	14	280	0.91	0.29	874	154	201	0.78	94	123	32	441	100	341

CornellCollege_1
Eamon_Collins	1	0	0	0	-	-	0	0	0	-	0	0	0	-	0	0	0	-	0	0	0
Michael_Fiorito	14	60	21	39	35%	48.3%	17	5	12	29.4%	43	16	27	37.2%	22	13	9	59.1%	2	21	16
Craig_Engle	12	48	15	33	31.2%	41.7%	14	5	9	35.7%	34	10	24	29.4%	13	12	1	92.3%	0	7	13
Dylan_Murdock	5	2	1	1	50%	50%	1	1	0	100%	1	0	1	0%	0	0	0	-	0	1	0
Michael_Drew	14	61	25	36	41%	44.3%	45	21	24	46.7%	16	4	12	25%	26	20	6	76.9%	1	20	16
Scott_Gasik	6	15	7	8	46.7%	66.7%	3	1	2	33.3%	12	6	6	50%	4	1	3	25%	0	2	4
Cody_Carter	13	38	12	26	31.6%	42.1%	7	4	3	57.1%	31	8	23	25.8%	4	2	2	50%	0	6	6
Kameron_Williams	3	9	2	7	22.2%	27.8%	3	1	2	33.3%	6	1	5	16.7%	1	0	1	0%	1	1	1
Corey_Davis	14	137	62	75	45.3%	46.4%	123	59	64	48%	14	3	11	21.4%	79	51	28	64.6%	8	57	28
Eric_Medenblik	1	1	0	1	0%	0%	1	0	1	0%	0	0	0	-	0	0	0	-	0	0	0
Jordan_Venters	5	12	5	7	41.7%	58.3%	1	1	0	100%	11	4	7	36.4%	2	1	1	50%	0	1	0
Keegan_Van_Kooten	14	49	9	40	18.4%	21.4%	29	6	23	20.7%	20	3	17	15%	11	6	5	54.6%	1	11	21
Austin_Dyer	7	8	2	6	25%	25%	8	2	6	25%	0	0	0	-	0	0	0	-	0	0	3
Jan_Siegien	12	48	17	31	35.4%	45.8%	18	7	11	38.9%	30	10	20	33.3%	8	4	4	50%	0	6	9
Cooper_Kabela	14	29	15	14	51.7%	55.2%	21	13	8	61.9%	8	2	6	25%	14	10	4	71.4%	0	9	6
Jon_Anderson	14	109	65	44	59.6%	59.6%	109	65	44	59.6%	0	0	0	-	74	49	25	66.2%	9	61	44
Carron_Watt	2	0	0	0	-	-	0	0	0	-	0	0	0	-	0	0	0	-	0	0	1
Brad_Hund	14	96	50	46	52.1%	55.2%	78	44	34	56.4%	18	6	12	33.3%	32	15	17	46.9%	3	21	28
Jordan_Heien	2	1	0	1	0%	0%	1	0	1	0%	0	0	0	-	2	1	1	50%	0	1	0
Team_Totals	14	723	308	415	42.6%	47.6%	479	235	244	49.1%	244	73	171	29.9%	292	185	107	63.4%	25	225	196

©2004-2018_Synergy_Sports_Technology,_LLC._All_Rights_Reserved
v-1.0.100	_	_
