player_id,team_cumulative_id,team_id,min,sst,sstexpts,pts,ast,turnover,ast_to_ratio,stl,stlpos,blk,ttlreb,offreb,defreb,field_goals_attempt,field_goals_made,field_goals_missed,field_goal_percentage,adjusted_field_goal_percentage,two_field_goals_attempt,two_field_goals_made,two_field_goals_missed,two_field_goal_percentage,three_field_goals_attempt,three_field_goals_made,three_field_goals_missed,three_field_goal_percentage,free_throw_attempts,free_throw_made,free_throw_missed,free_throw_percentage,and_one,personal_fouls_taken,total_personal_fouls_commited,gp
1,230,13,209,0.71,0.23,54,8,10,0.8,5,6,1,31,9,22,45,18,27,0.4,0.444,28,14,14,0.5,17,4,13,0.235,19,14,5,0.737,0,11,23,18
2,223,13,399,0.84,0.27,135,34,33,1.03,11,16,0,69,15,54,116,46,70,0.397,0.461,66,31,35,0.47,50,15,35,0.3,42,28,14,0.667,3,34,34,23
3,218,13,192,0.89,0.22,86,14,9,1.56,6,6,0,16,4,12,77,29,48,0.377,0.474,36,14,22,0.389,41,15,26,0.366,17,13,4,0.765,1,11,7,18
4,225,13,13,1.19,0.54,2,3,0,,0,0,0,1,0,1,1,0,1,0,0,0,0,0,,1,0,1,0,2,2,0,1,0,1,1,5
5,227,13,371,0.93,0.34,137,16,20,0.8,2,5,3,96,29,67,133,51,82,0.384,0.413,97,43,54,0.443,36,8,28,0.222,35,27,8,0.771,3,37,46,25
6,216,13,520,1.52,0.43,289,58,39,1.49,21,24,4,103,33,70,210,97,113,0.462,0.507,154,78,76,0.506,56,19,37,0.339,103,76,27,0.738,19,89,43,22
7,219,13,282,0.38,0.17,56,9,4,2.25,6,2,1,24,0,24,57,19,38,0.333,0.482,7,2,5,0.286,50,17,33,0.34,2,1,1,0.5,0,1,27,19
9,221,13,462,0.74,0.27,163,38,43,0.88,8,17,5,94,17,77,148,57,91,0.385,0.5,59,23,36,0.39,89,34,55,0.382,22,15,7,0.682,1,19,52,25
10,222,13,167,0.9,0.2,70,15,11,1.36,3,7,0,14,6,8,54,24,30,0.444,0.528,29,15,14,0.517,25,9,16,0.36,21,13,8,0.619,3,13,19,14
11,224,13,384,0.9,0.14,170,14,21,0.67,10,9,3,37,4,33,138,56,82,0.406,0.489,73,33,40,0.452,65,23,42,0.354,46,35,11,0.761,2,23,42,20
12,226,13,115,0.68,0.31,27,3,9,0.33,5,4,7,19,5,14,26,11,15,0.423,0.423,25,11,14,0.44,1,0,1,0,7,5,2,0.714,0,5,8,17
13,217,13,49,0.38,0.29,9,4,4,1,1,3,0,9,3,6,14,3,11,0.214,0.321,3,0,3,0,11,3,8,0.273,0,0,0,,0,0,2,6
14,228,13,389,1.13,0.41,194,13,28,0.46,4,14,16,103,47,56,156,85,71,0.545,0.564,136,79,57,0.581,20,6,14,0.3,35,18,17,0.514,6,35,48,23
15,215,13,451,0.62,0.26,89,53,32,1.66,12,18,0,40,11,29,83,25,58,0.301,0.38,43,12,31,0.279,40,13,27,0.325,33,26,7,0.788,0,29,26,25
16,231,13,331,1.41,0.52,165,22,28,0.79,4,12,8,115,44,71,102,69,33,0.676,0.676,102,69,33,0.676,0,0,0,,44,27,17,0.614,1,36,54,23
17,106,7,11,0.05,0,2,0,0,,0,0,0,0,0,0,3,1,2,0.333,0.333,2,1,1,0.5,1,0,1,0,1,0,1,0,0,0,1,5
18,112,7,919,1.28,0.48,403,73,62,1.18,52,24,37,178,66,112,263,149,114,0.566,0.624,192,119,73,0.62,71,30,41,0.422,112,75,37,0.67,19,81,61,25
19,118,7,588,1.03,0.38,251,15,43,0.35,7,15,41,148,33,115,195,110,85,0.564,0.564,195,110,85,0.564,0,0,0,,59,31,28,0.525,11,58,54,25
20,109,7,13,0.43,0.15,4,1,1,1,0,1,0,2,0,2,5,2,3,0.4,0.4,4,2,2,0.5,1,0,1,0,0,0,0,,0,0,0,3
21,113,7,9,0.97,0.11,2,1,1,1,0,0,0,1,0,1,2,0,2,0,0,0,0,0,,2,0,2,0,2,2,0,1,0,1,0,5
22,104,7,566,0.75,0.13,213,43,54,0.8,22,17,2,38,11,27,192,72,120,0.375,0.445,103,45,58,0.437,89,27,62,0.303,50,42,8,0.84,8,38,64,24
23,116,7,24,-0.13,-0.13,0,0,3,0,0,3,0,3,0,3,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,2,8
24,107,7,121,0.6,0.3,29,8,2,4,2,1,0,17,3,14,31,9,22,0.29,0.403,7,2,5,0.286,24,7,17,0.292,7,4,3,0.571,1,4,5,13
25,103,7,814,1.24,0.3,426,51,29,1.76,23,13,0,132,23,109,320,138,182,0.431,0.53,174,75,99,0.431,146,63,83,0.432,101,87,14,0.861,13,65,34,24
26,117,7,103,0.37,0.09,31,3,8,0.38,0,2,2,13,2,11,34,11,23,0.324,0.456,5,2,3,0.4,29,9,20,0.31,0,0,0,,0,0,14,12
27,110,7,475,0.78,0.44,90,62,26,2.38,18,12,6,78,13,65,77,28,49,0.364,0.454,34,14,20,0.412,43,14,29,0.326,23,20,3,0.87,2,22,44,18
28,111,7,357,1.43,0.16,217,28,38,0.74,8,17,2,43,14,29,147,67,80,0.456,0.52,100,48,52,0.48,47,19,28,0.404,80,64,16,0.8,6,62,46,13
29,108,7,160,0.51,0.18,34,10,9,1.11,3,4,0,19,2,17,30,11,19,0.367,0.467,13,5,8,0.385,17,6,11,0.353,9,6,3,0.667,0,5,12,19
