Element_Name,Element_ID
After Time Outs,1
Against Man,2
Against Zone,3
All Jump Shots off the Dribble,4
Around Basket (not Post-Ups),5
Ball Handler,6
Basket Cuts (incl. open under),7
Catch and Shoot,8
Cut,9
Drives Left,10
Drives Left.Drives to the Basket,11
Drives Left.Pulls up for the jumper,12
Drives Left.Runner,13
Drives Left.Turnover/Fouled,14
Drives Right,15
Drives Right.Drives to the Basket,16
Drives Right.Pulls up for the jumper,17
Drives Right.Runner,18
Drives Right.Turnover/Fouled,19
First Middle,20
Flash Cuts,21
Flash Middle,22
Flash Middle (in the paint),23
Flash Middle (in the paint).Faces Up,24
Flash Middle (in the paint).Faces Up.Drives Left,25
Flash Middle (in the paint).Faces Up.Drives Right,26
Flash Middle (in the paint).Faces Up.Early Jumper,27
Flash Middle (in the paint).Faces Up.Turnover/Fouled,28
Flash Middle (in the paint).Post Pin (over the top),29
Flash Middle (in the paint).Turnover/Fouled,30
Flash Middle (in the paint).Turns Left Shoulder.,31
Flash Middle (in the paint).Turns Left Shoulder.Drop Step,32
Flash Middle (in the paint).Turns Left Shoulder.Hook,33
Flash Middle (in the paint).Turns Left Shoulder.Jump Shot,34
Flash Middle (in the paint).Turns Left Shoulder.Left Shoulder - Dribble,35
Flash Middle (in the paint).Turns Left Shoulder.Left Shoulder - No Dribble,36
Flash Middle (in the paint).Turns Left Shoulder.To Basket,37
Flash Middle (in the paint).Turns Left Shoulder.Turnover/Fouled,38
Flash Middle (in the paint).Turns Left Shoulder.Up and Under,39
Flash Middle (in the paint).Turns Right Shoulder,40
Flash Middle (in the paint).Turns Right Shoulder.Drop Step,41
Flash Middle (in the paint).Turns Right Shoulder.Hook,42
Flash Middle (in the paint).Turns Right Shoulder.Jump Shot,43
Flash Middle (in the paint).Turns Right Shoulder.Right Shoulder - Dribble,44
Flash Middle (in the paint).Turns Right Shoulder.Right Shoulder - No Dribble,45
Flash Middle (in the paint).Turns Right Shoulder.To Basket,46
Flash Middle (in the paint).Turns Right Shoulder.Turnover/Fouled,47
Flash Middle (in the paint).Turns Right Shoulder.Up and Under,48
Flash Middle Pass Outs.,49
Flash Middle Pass Outs.Pass Out Results,50
Flash Middle Pass Outs.Pass To Cut,51
Flash Middle Pass Outs.Pass To Spot Up,52
Flash Middle Pass Outs.Turnover/Fouled,53
Flash Middle.'s Scoring Attempt,54
Flash Middle.Pass Out Results,55
Flash Middle.Pass To Cut,56
Flash Middle.Pass To Spot Up,57
Flash Middle.Turnovers/Fouled,58
From Dribble,59
From ISO - Defense Commits,60
From Other Man-To-Man Defense,61
From P&R BH - Defense Commits,62
From P&R Defensive Switch,63
From Post-Up - Defense Commits,64
From Stationary,65
From other man-to-man defense,66
Guarded,67
Hand Off,68
High P&R - Single,69
High P&R - Single.Defender Into Pick,70
High P&R - Single.Defender Over Pick,71
High P&R - Single.Defender Under Pick,72
High P&R - Single.Dribbles Off Pick,73
High P&R - Single.Dribbles Off Pick.Defender Into Pick,74
High P&R - Single.Dribbles Off Pick.Defender Over Pick,75
High P&R - Single.Dribbles Off Pick.Defender Under Pick,76
High P&R - Single.Dribbles Off Pick.Takes a Dribble Jumper,77
High P&R - Single.Dribbles Off Pick.Takes a Runner,78
High P&R - Single.Dribbles Off Pick.Takes it to the Basket,79
High P&R - Single.Dribbles Off Pick.Turnover/Fouled,80
High P&R - Single.Goes Away From Pick,81
High P&R - Single.Goes Away From Pick.Defender Into Pick,82
High P&R - Single.Goes Away From Pick.Defender Over Pick,83
High P&R - Single.Goes Away From Pick.Defender Under Pick,84
High P&R - Single.Goes Away From Pick.Takes a Dribble Jumper,85
High P&R - Single.Goes Away From Pick.Takes a Runner,86
High P&R - Single.Goes Away From Pick.Takes it to the Basket,87
High P&R - Single.Goes Away From Pick.Turnover/Fouled,88
High P&R - Single.Splits the Defenders,89
High P&R - Single.Splits the Defenders.Defender Into Pick,90
High P&R - Single.Splits the Defenders.Defender Over Pick,91
High P&R - Single.Splits the Defenders.Defender Under Pick,92
High P&R - Single.Splits the Defenders.Takes a Dribble Jumper,93
High P&R - Single.Splits the Defenders.Takes a Runner,94
High P&R - Single.Splits the Defenders.Takes it to the Basket,95
High P&R - Single.Splits the Defenders.Turnover/Fouled,96
High P&R - Single.Takes Early Jump Shot,97
High P&R - Single.Takes Early Jump Shot.Defender Into Pick,98
High P&R - Single.Takes Early Jump Shot.Defender Over Pick,99
High P&R - Single.Takes Early Jump Shot.Defender Under Pick,100
High P&R - Single.Turnover/Fouled,101
High P&R Pass Outs,102
High P&R Pass Outs.Pass Out Results,103
High P&R Pass Outs.Pass To Cut,104
High P&R Pass Outs.Pass To P&R - Roll Man,105
High P&R Pass Outs.Pass To Spot Up,106
High P&R Pass Outs.Turnover/Fouled,107
ISO - Defense Commits,108
Isolation,109
Isolation Passes Offense,110
Isolation Player's Offense,111
Isolations Including Passes,112
Jump Shots,113
Jump Shots.Short Shot Clock <4 Seconds,114
Leak Outs,115
Left Block,116
Left Block Pass Outs,117
Left Block Pass Outs.Pass Out Results,118
Left Block Pass Outs.Pass To Cut,119
Left Block Pass Outs.Pass To Spot Up,120
Left Block Pass Outs.Turnover/Fouled,121
Left Block.'s Scoring Attempts,122
Left Block.Faces Up,123
Left Block.Faces Up.Drives Baseline,124
Left Block.Faces Up.Drives Middle,125
Left Block.Faces Up.Early Jumper,126
Left Block.Faces Up.Turnover/Fouled,127
Left Block.Pass Out Results,128
Left Block.Pass To Cut,129
Left Block.Pass To Spot Up,130
Left Block.Post Pin (over the top),131
Left Block.Turnover/Fouled,132
Left Block.Turnovers/Fouled,133
Left Block.Turns Left Shoulder,134
Left Block.Turns Left Shoulder.Drop Step,135
Left Block.Turns Left Shoulder.Hook,136
Left Block.Turns Left Shoulder.Jump Shot,137
Left Block.Turns Left Shoulder.Left Shoulder - Dribble,138
Left Block.Turns Left Shoulder.Left Shoulder - No Dribble,139
Left Block.Turns Left Shoulder.To Basket,140
Left Block.Turns Left Shoulder.Turnover/Fouled,141
Left Block.Turns Left Shoulder.Up and Under,142
Left Block.Turns Right Shoulder,143
Left Block.Turns Right Shoulder.Drop Step,144
Left Block.Turns Right Shoulder.Hook,145
Left Block.Turns Right Shoulder.Jump Shot,146
Left Block.Turns Right Shoulder.Right Shoulder - Dribble,147
Left Block.Turns Right Shoulder.Right Shoulder - No Dribble,148
Left Block.Turns Right Shoulder.To Basket,149
Left Block.Turns Right Shoulder.Turnover/Fouled,150
Left Block.Turns Right Shoulder.Up and Under,151
Left Side ISOs,152
Left Side ISOs.Drives Baseline,153
Left Side ISOs.Drives Baseline.Dribble Jumper,154
Left Side ISOs.Drives Baseline.Runner,155
Left Side ISOs.Drives Baseline.To Basket,156
Left Side ISOs.Drives Baseline.Turnover/Fouled,157
Left Side ISOs.Drives Middle,158
Left Side ISOs.Drives Middle.Dribble Jumper,159
Left Side ISOs.Drives Middle.Runner,160
Left Side ISOs.Drives Middle.To Basket,161
Left Side ISOs.Drives Middle.Turnover/Fouled,162
Left Side ISOs.Shoots No Drive,163
Left Side ISOs.Turnover/Fouled,164
Left Side Isolation Kicks,165
Left Side Isolation Kicks.Draw and Kick Results,166
Left Side Isolation Kicks.Pass To Cut,167
Left Side Isolation Kicks.Pass To Spot Up,168
Left Side Isolation Kicks.Turnover/Fouled,169
Left Side P&R - Single,170
Left Side P&R - Single.Defender Into Pick,171
Left Side P&R - Single.Defender Over Pick,172
Left Side P&R - Single.Defender Under Pick,173
Left Side P&R - Single.Dribbles Off Pick,174
Left Side P&R - Single.Dribbles Off Pick.Defender Into Pick,175
Left Side P&R - Single.Dribbles Off Pick.Defender Over Pick,176
Left Side P&R - Single.Dribbles Off Pick.Defender Under Pick,177
Left Side P&R - Single.Dribbles Off Pick.Takes a Dribble Jumper,178
Left Side P&R - Single.Dribbles Off Pick.Takes a Runner,179
