team_name,player_name,gp,team_ast,team_fg,team_id,player_id,MP,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK,pace_factor,factors,VOP,DRB%,uPER,Pace_Adjustment,aPER,aPER_Weights,PER
Albion,Adam_Davis,18,15,27,13,1,11.6111,3,0.22,0.44,0.56,1,0.78,2.5,0.28,1.28,1.06,1.72,0.5,1.22,0.06,88.41304348,0.59963225,0.979272097,0.732420171,0.089892999,0.936215773,0.084159243,0.000238644,7.033424015
Albion,Aquavius_Burks,23,15,27,13,2,17.3478,5.87,0.65,1.48,1.43,2,1.22,5.04,0.48,1.48,1.83,3,0.65,2.35,0,88.41304348,0.59963225,0.979272097,0.732420171,0.143558638,0.936215773,0.134401861,0.00056941,11.23234047
Albion,Arshawn_Parker,18,15,27,13,3,10.6667,4.78,0.83,0.78,0.5,1.61,0.72,4.28,0.33,0.39,0.94,0.89,0.22,0.67,0,88.41304348,0.59963225,0.979272097,0.732420171,0.223245282,0.936215773,0.209005754,0.000544457,17.46719708
Albion,Austin_Thompson,5,15,27,13,4,2.6,0.4,0,0.6,0,0,0.4,0.2,0,0.2,0.4,0.2,0,0.2,0,88.41304348,0.59963225,0.979272097,0.732420171,0.149081024,0.936215773,0.139572006,8.86E-05,11.66442404
Albion,Caden_Ebeling,25,15,27,13,5,14.84,5.48,0.32,0.64,0.8,2.04,1.08,5.32,0.08,1.84,1.4,3.84,1.16,2.68,0.12,88.41304348,0.59963225,0.979272097,0.732420171,0.135505134,0.936215773,0.126862044,0.000459771,10.60221682
Albion,Corey_Wheeler,22,15,27,13,6,23.6364,13.14,0.86,2.64,1.77,4.41,3.45,9.55,0.95,1.95,4.68,4.68,1.5,3.18,0.18,88.41304348,0.59963225,0.979272097,0.732420171,0.343610929,0.936215773,0.321693972,0.001856948,26.88486746
Albion,Dylan_Bennett,19,15,27,13,7,14.8421,2.95,0.89,0.47,0.21,1,0.05,3,0.32,1.42,0.11,1.26,0,1.26,0.05,88.41304348,0.59963225,0.979272097,0.732420171,0.057728865,0.936215773,0.054046674,0.000195902,4.516832131
Albion,Jaylen_Fordham,25,15,27,13,9,18.48,6.52,1.36,1.52,1.72,2.28,0.6,5.92,0.32,2.08,0.88,3.76,0.68,3.08,0.2,88.41304348,0.59963225,0.979272097,0.732420171,0.131542395,0.936215773,0.123152065,0.000555801,10.29216348
Albion,Juwan_Perry,14,15,27,13,10,11.9286,5,0.64,1.07,0.79,1.71,0.93,3.86,0.21,1.36,1.5,1,0.43,0.57,0,88.41304348,0.59963225,0.979272097,0.732420171,0.166794128,0.936215773,0.156155294,0.000454906,13.05033585
Albion,Nathaniel_Collins,20,15,27,13,11,19.2,8.5,1.15,0.7,1.05,2.8,1.75,6.9,0.5,2.1,2.3,1.85,0.2,1.65,0.15,88.41304348,0.59963225,0.979272097,0.732420171,0.156574255,0.936215773,0.146587287,0.000687342,12.25071072
Albion,Nathan_Kellum,17,15,27,13,12,6.7647,1.59,0,0.18,0.53,0.65,0.29,1.53,0.29,0.47,0.41,1.12,0.29,0.82,0.41,88.41304348,0.59963225,0.979272097,0.732420171,0.121588707,0.936215773,0.113833265,0.000188059,9.513365234
Albion,Ojani_Echevarria,6,15,27,13,13,8.1667,1.5,0.5,0.67,0.67,0.5,0,2.33,0.17,0.33,0,1.5,0.5,1,0,88.41304348,0.59963225,0.979272097,0.732420171,0.036374965,0.936215773,0.034054816,6.79E-05,2.846056472
Albion,Quinton_Armstrong,23,15,27,13,14,16.913,8.43,0.26,0.57,1.22,3.7,0.78,6.78,0.17,2.09,1.52,4.48,2.04,2.43,0.7,88.41304348,0.59963225,0.979272097,0.732420171,0.291477715,0.936215773,0.272886034,0.001127139,22.80585121
Albion,Robert_Ryan,25,15,27,13,15,18.04,3.56,0.52,2.12,1.28,1,1.04,3.32,0.48,1.04,1.32,1.6,0.44,1.16,0,88.41304348,0.59963225,0.979272097,0.732420171,0.089849662,0.936215773,0.084118671,0.000370599,7.03003326
Albion,Ryan_Lowe,23,15,27,13,16,14.3913,7.17,0,0.96,1.22,3,1.17,4.43,0.17,2.35,1.91,5,1.91,3.09,0.35,88.41304348,0.59963225,0.979272097,0.732420171,0.338507807,0.936215773,0.316916348,0.001113833,26.48558806
Carthage,Adam_Radcliffe,5,13,26,7,17,2.2,0.4,0,0,0,0.2,0,0.6,0,0.2,0.2,0,0,0,0,80.44,0.59963225,0.979272097,0.732420171,-0.121543565,1.029011509,-0.125069727,-6.72E-05,-10.45242787
Carthage,Brad_Kruse,25,13,26,7,18,36.76,16.12,1.2,2.92,2.48,5.96,3,10.52,2.08,2.44,4.48,7.12,2.64,4.48,1.48,80.44,0.59963225,0.979272097,0.732420171,0.370899876,1.029011509,0.381660241,0.00342632,31.89641682
Carthage,Brad_Perry,25,13,26,7,19,23.52,10.04,0,0.6,1.72,4.4,1.24,7.8,0.28,2.16,2.36,5.92,1.32,4.6,1.64,80.44,0.59963225,0.979272097,0.732420171,0.266019777,1.029011509,0.273737412,0.001572342,22.8770033
Carthage,Dan_Messina,5,13,26,7,21,1.8,0.4,0,0.2,0.2,0,0.4,0.4,0,0,0.4,0.2,0,0.2,0,80.44,0.59963225,0.979272097,0.732420171,-0.057703493,1.029011509,-0.059377559,-2.61E-05,-4.962349113
Carthage,Derek_Mason_II,24,13,26,7,22,23.5833,8.88,1.13,1.79,2.25,3,1.75,8,0.92,2.67,2.08,1.58,0.46,1.13,0.08,80.44,0.59963225,0.979272097,0.732420171,0.102879091,1.029011509,0.105863769,0.000609716,8.847332091
Carthage,Dimitrije_Kastratovic,8,13,26,7,23,3,0,0,0,0.38,0,0,0,0,0.25,0,0.38,0,0.38,0,80.44,0.59963225,0.979272097,0.732420171,-0.184976452,1.029011509,-0.190342898,-0.000139455,-15.90748985
Carthage,Jacob_Polglase,13,13,26,7,24,9.3077,2.23,0.54,0.62,0.15,0.69,0.31,2.38,0.15,0.38,0.54,1.31,0.23,1.08,0,80.44,0.59963225,0.979272097,0.732420171,0.122144603,1.029011509,0.125688202,0.000285701,10.50411559
Carthage,Jordan_Thomas,24,13,26,7,25,33.9167,17.75,2.63,2.13,1.21,5.75,3.63,13.33,0.96,1.42,4.21,5.5,0.96,4.54,0,80.44,0.59963225,0.979272097,0.732420171,0.336971644,1.029011509,0.3467477,0.002872121,28.97867778
Carthage,Jordan_Vedder,12,13,26,7,26,8.5833,2.58,0.75,0.25,0.67,0.92,0,2.83,0,1.17,0,1.08,0.17,0.92,0.17,80.44,0.59963225,0.979272097,0.732420171,0.001026274,1.029011509,0.001056048,2.21E-06,0.088256868
Carthage,Kamal_Shasi,18,13,26,7,27,26.3889,5,0.78,3.44,1.44,1.56,1.11,4.28,1,2.44,1.28,4.33,0.72,3.61,0.33,80.44,0.59963225,0.979272097,0.732420171,0.151319903,1.029011509,0.155709921,0.00100349,13.01311484
