,team_name,team_ast,team_fg,team_id,player_id,player_name,MP,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK
0,Albion,15,27,13,1,Adam_Davis,11.6111,3,0.22,0.44,0.56,1,0.78,2.5,0.28,1.28,1.06,1.72,0.5,1.22,0.06
1,Albion,15,27,13,2,Aquavius_Burks,17.3478,5.87,0.65,1.48,1.43,2,1.22,5.04,0.48,1.48,1.83,3,0.65,2.35,0
2,Albion,15,27,13,3,Arshawn_Parker,10.6667,4.78,0.83,0.78,0.5,1.61,0.72,4.28,0.33,0.39,0.94,0.89,0.22,0.67,0
3,Albion,15,27,13,4,Austin_Thompson,2.6,0.4,0,0.6,0,0,0.4,0.2,0,0.2,0.4,0.2,0,0.2,0
4,Albion,15,27,13,5,Caden_Ebeling,14.84,5.48,0.32,0.64,0.8,2.04,1.08,5.32,0.08,1.84,1.4,3.84,1.16,2.68,0.12
5,Albion,15,27,13,6,Corey_Wheeler,23.6364,13.14,0.86,2.64,1.77,4.41,3.45,9.55,0.95,1.95,4.68,4.68,1.5,3.18,0.18
6,Albion,15,27,13,7,Dylan_Bennett,14.8421,2.95,0.89,0.47,0.21,1,0.05,3,0.32,1.42,0.11,1.26,0,1.26,0.05
7,Albion,15,27,13,9,Jaylen_Fordham,18.48,6.52,1.36,1.52,1.72,2.28,0.6,5.92,0.32,2.08,0.88,3.76,0.68,3.08,0.2
8,Albion,15,27,13,10,Juwan_Perry,11.9286,5,0.64,1.07,0.79,1.71,0.93,3.86,0.21,1.36,1.5,1,0.43,0.57,0
9,Albion,15,27,13,11,Nathaniel_Collins,19.2,8.5,1.15,0.7,1.05,2.8,1.75,6.9,0.5,2.1,2.3,1.85,0.2,1.65,0.15
10,Albion,15,27,13,12,Nathan_Kellum,6.7647,1.59,0,0.18,0.53,0.65,0.29,1.53,0.29,0.47,0.41,1.12,0.29,0.82,0.41
11,Albion,15,27,13,13,Ojani_Echevarria,8.1667,1.5,0.5,0.67,0.67,0.5,0,2.33,0.17,0.33,0,1.5,0.5,1,0
12,Albion,15,27,13,14,Quinton_Armstrong,16.913,8.43,0.26,0.57,1.22,3.7,0.78,6.78,0.17,2.09,1.52,4.48,2.04,2.43,0.7
13,Albion,15,27,13,15,Robert_Ryan,18.04,3.56,0.52,2.12,1.28,1,1.04,3.32,0.48,1.04,1.32,1.6,0.44,1.16,0
14,Albion,15,27,13,16,Ryan_Lowe,14.3913,7.17,0,0.96,1.22,3,1.17,4.43,0.17,2.35,1.91,5,1.91,3.09,0.35
15,Carthage,13,26,7,17,Adam_Radcliffe,2.2,0.4,0,0,0,0.2,0,0.6,0,0.2,0.2,0,0,0,0
16,Carthage,13,26,7,18,Brad_Kruse,36.76,16.12,1.2,2.92,2.48,5.96,3,10.52,2.08,2.44,4.48,7.12,2.64,4.48,1.48
17,Carthage,13,26,7,19,Brad_Perry,23.52,10.04,0,0.6,1.72,4.4,1.24,7.8,0.28,2.16,2.36,5.92,1.32,4.6,1.64
18,Carthage,13,26,7,20,Brett_Czerak,4.3333,1.33,0,0.33,0.33,0.67,0,1.67,0,0,0,0.67,0,0.67,0
19,Carthage,13,26,7,21,Dan_Messina,1.8,0.4,0,0.2,0.2,0,0.4,0.4,0,0,0.4,0.2,0,0.2,0
20,Carthage,13,26,7,22,Derek_Mason_II,23.5833,8.88,1.13,1.79,2.25,3,1.75,8,0.92,2.67,2.08,1.58,0.46,1.13,0.08
21,Carthage,13,26,7,23,Dimitrije_Kastratovic,3,0,0,0,0.38,0,0,0,0,0.25,0,0.38,0,0.38,0
22,Carthage,13,26,7,24,Jacob_Polglase,9.3077,2.23,0.54,0.62,0.15,0.69,0.31,2.38,0.15,0.38,0.54,1.31,0.23,1.08,0
23,Carthage,13,26,7,25,Jordan_Thomas,33.9167,17.75,2.63,2.13,1.21,5.75,3.63,13.33,0.96,1.42,4.21,5.5,0.96,4.54,0
24,Carthage,13,26,7,26,Jordan_Vedder,8.5833,2.58,0.75,0.25,0.67,0.92,0,2.83,0,1.17,0,1.08,0.17,0.92,0.17
25,Carthage,13,26,7,27,Kamal_Shasi,26.3889,5,0.78,3.44,1.44,1.56,1.11,4.28,1,2.44,1.28,4.33,0.72,3.61,0.33
26,Carthage,13,26,7,28,Kienan_Baltimore,27.4615,16.69,1.46,2.15,2.92,5.15,4.92,11.31,0.62,3.54,6.15,3.31,1.08,2.23,0.15
27,Carthage,13,26,7,29,Mike_Canady,8.4211,1.79,0.32,0.53,0.47,0.58,0.32,1.58,0.16,0.63,0.47,1,0.11,0.89,0
28,Carthage,13,26,7,30,Sean_Johnson,15.7826,3.83,0,0.39,0.57,1.48,0.87,2.57,0.17,1.65,1.61,3.83,1.3,2.52,2
29,Carthage,13,26,7,31,Steve_Leazer,16.48,3.04,0.56,0.96,0.4,0.92,0.64,3.48,0.4,1.84,1.24,1.96,0.4,1.56,0.16
30,Carthage,13,26,7,32,Tj_Best,7.6875,1.25,0.19,0.19,0.44,0.38,0.31,1.19,0.19,0.44,0.38,0.19,0,0.19,0
31,Chicago,15,21,12,33,Brennan_Mcdaniel,1,0,0,0,0.5,0,0,0,0,0.5,0,1,0.5,0.5,0
32,Chicago,15,21,12,34,Cole_Schmitz,7.95,2,0,0.9,0.2,0.95,0.1,2.35,0.3,0.8,0.1,2.1,0.85,1.25,0.05
33,Chicago,15,21,12,35,Collin_Barthel,31.1304,13.39,0.87,2.3,2.04,4.48,3.57,10.52,1.09,2.04,4.65,8.74,2.43,6.3,0.3
34,Chicago,15,21,12,36,Dominic_Laravie,7.72,2.56,0.12,0.2,0.36,0.96,0.52,2.44,0.12,0.64,1,2.28,1.12,1.16,0.08
35,Chicago,15,21,12,37,Ezra_Swell,2,3,0,0,0,1,1,2,0,0,1,0,0,0,0
36,Chicago,15,21,12,38,Jake_Berhorst,9.8333,2.71,0.58,0.83,1,0.92,0.29,2.46,0.04,0.58,0.42,1.17,0.13,1.04,0
37,Chicago,15,21,12,39,Jake_Fenlon,31,17.44,4,1.44,1.76,5.6,2.24,13.8,0.56,1.36,2.72,2,0.32,1.68,0.12
38,Chicago,15,21,12,40,Jordan_Baum,30.08,7.4,1.96,5.68,2.16,2.44,0.56,6.2,1.4,1.88,0.68,4.68,0.24,4.44,0.44
39,Chicago,15,21,12,41,Justin_Jackson,15.08,6.08,0.12,0.88,0.96,2,1.96,4.4,0.2,1.64,3.28,2.6,1.52,1.08,0.08
40,Chicago,15,21,12,42,Louis_Mehaffey,0.6667,0,0,0,0.67,0,0,0,0,0.33,0,0.67,0.67,0,0
41,Chicago,15,21,12,43,Mattia_Colangelo,6.2917,0.96,0.29,0.42,0.38,0.33,0,1.33,0.13,0.33,0,1.08,0.29,0.79,0.17
42,Chicago,15,21,12,44,Max_Jacobs,13.6,3.68,0.12,0.96,0.92,1.28,1,2.4,0.6,1.52,1.48,2.36,0.68,1.68,0
43,Chicago,15,21,12,45,Noah_Karras,23.84,9.36,1.84,1.08,1.04,3.4,0.72,9.08,0.32,2,0.92,2.2,0.32,1.88,0.28
44,Chicago,15,21,12,46,Porter_Veach,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Chicago,15,21,12,47,Ryan_Jacobsen,20.8636,7.27,0.14,1.09,1.36,2.73,1.68,5,0.45,2.68,3.27,6.09,2.45,3.64,0.32
46,Chicago,15,21,12,48,Ryan_Shearmire,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,Chicago,15,21,12,49,Sam_Sustacek,10.44,4,0,0.68,0.6,1.56,0.88,2.64,0.24,1.48,1.68,2.72,1.08,1.64,0.04
48,CornellCollege,16,24,11,50,Austin_Dyer,5.4286,0.57,0,0.29,0.57,0.29,0,1.14,0,0.43,0,1.57,0.86,0.71,0.14
49,CornellCollege,16,24,11,51,Brad_Hund,22.0714,8.64,0.43,1.07,1.57,3.57,1.07,6.86,0.29,2,2.29,5.71,1.86,3.86,0.64
50,CornellCollege,16,24,11,52,Carron_Watt,1.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
51,CornellCollege,16,24,11,53,Cody_Carter,11,2.62,0.62,0.62,0.92,0.92,0.15,2.92,0.31,0.46,0.31,1.69,0.38,1.31,0.15
52,CornellCollege,16,24,11,54,Cooper_Kabela,10.8571,3,0.14,0.43,0.57,1.07,0.71,2.07,0.14,0.43,1,1.86,0.36,1.5,0.14
53,CornellCollege,16,24,11,55,Corey_Davis,24.1429,12.71,0.21,4.14,3.79,4.43,3.64,9.79,2.86,2,5.64,4.79,0.79,4,0.21
54,CornellCollege,16,24,11,56,Craig_Engle,18.5,4.33,0.83,1.17,1.08,1.25,1,4,0.17,1.08,1.08,1.08,0.08,1,0
55,CornellCollege,16,24,11,57,Dylan_Murdock,3.8,0.4,0,0.2,0.2,0.2,0,0.4,0.2,0,0,0.6,0,0.6,0
56,CornellCollege,16,24,11,58,Eric_Medenblik,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,CornellCollege,16,24,11,59,Jan_Siegien,12.75,4,0.83,0.33,0.83,1.42,0.33,4,0.33,0.75,0.67,1.17,0,1.17,0.08
58,CornellCollege,16,24,11,60,Jon_Anderson,20.7857,12.79,0,0.29,1.36,4.64,3.5,7.79,0.71,3.14,5.29,6.93,1.71,5.21,0.64
59,CornellCollege,16,24,11,61,Jordan_Heien,2,0.5,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0
60,CornellCollege,16,24,11,62,Jordan_Venters,3.2,3,0.8,0.2,0.4,1,0.2,2.4,0.4,0,0.4,0.2,0,0.2,0
61,CornellCollege,16,24,11,63,Kameron_Williams,8.3333,1.67,0.33,0,0,0.67,0,3,0.33,0.33,0.33,1,0.33,0.67,0
62,CornellCollege,16,24,11,64,Keegan_Van_Kooten,11.1429,1.93,0.21,0.5,0.93,0.64,0.43,3.5,0.43,1.5,0.79,1.43,0.5,0.93,0.36
