,Game_ID,Session_ID,LineUp_ID,Game_Status_ID,Min,Lineup_Score,Oppo_Score,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_FTm,Oppo_FTM,Oppo_Ast,Oppo_Stl,Player_Name,Pts,OffReb,DefReb,TtlReb,FGA,FGM,FGm,Two_FGA,Two_FGM,Two_FGm,Three_FGA,Three_FGM,Three_FGm,Ast,Stl,FTA,FTM,FTm
0,1,1,1,1,6.0,11,1,8,0,8,6,0,6,2,0,2,1,1,2,4,3,1,0,2,Jake Digiorgio,4,1,3,4,4,2,2,4,2,2,0,0,0,1,0,0,0,0
1,1,1,1,1,6.0,11,1,8,0,8,6,0,6,2,0,2,1,1,2,4,3,1,0,2,Max Hisatake,4,2,2,4,3,2,1,3,2,1,0,0,0,1,0,0,0,0
2,1,1,1,1,6.0,11,1,8,0,8,6,0,6,2,0,2,1,1,2,4,3,1,0,2,Anthony Mosley,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,6.0,11,1,8,0,8,6,0,6,2,0,2,1,1,2,4,3,1,0,2,Malik Howze,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
4,1,1,1,1,6.0,11,1,8,0,8,6,0,6,2,0,2,1,1,2,4,3,1,0,2,Parker Joncus,3,1,1,2,2,1,1,1,1,0,1,0,1,0,0,2,1,1
5,1,1,2,1,3.433333333,7,6,7,2,5,5,1,4,2,1,1,3,2,5,2,1,1,1,0,Jake Bruns,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
6,1,1,2,1,3.433333333,7,6,7,2,5,5,1,4,2,1,1,3,2,5,2,1,1,1,0,Jake Digiorgio,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,2,1,3.433333333,7,6,7,2,5,5,1,4,2,1,1,3,2,5,2,1,1,1,0,Max Hisatake,2,0,0,0,3,1,2,3,1,2,0,0,0,1,0,0,0,0
8,1,1,2,1,3.433333333,7,6,7,2,5,5,1,4,2,1,1,3,2,5,2,1,1,1,0,Anthony Mosley,2,0,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,0
9,1,1,2,1,3.433333333,7,6,7,2,5,5,1,4,2,1,1,3,2,5,2,1,1,1,0,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,3,1,1.4,3,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,3,1,1.4,3,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,1,1,3,1,1.4,3,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,Jake Bruns,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,3,1,1.4,3,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,3,1,1.4,3,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,Malik Howze,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
15,1,1,4,1,1.0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Anthony Mosley,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
16,1,1,4,1,1.0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,4,1,1.0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,4,1,1.0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1,4,1,1.0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,5,1,2.233333333,4,2,5,1,4,3,1,2,2,0,2,2,1,3,0,0,0,0,0,Calvin Schmitz,2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
21,1,1,5,1,2.233333333,4,2,5,1,4,3,1,2,2,0,2,2,1,3,0,0,0,0,0,Capriest Gardner,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,5,1,2.233333333,4,2,5,1,4,3,1,2,2,0,2,2,1,3,0,0,0,0,0,Anthony Mosley,2,0,1,1,3,1,2,3,1,2,0,0,0,0,0,0,0,0
23,1,1,5,1,2.233333333,4,2,5,1,4,3,1,2,2,0,2,2,1,3,0,0,0,0,0,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1,5,1,2.233333333,4,2,5,1,4,3,1,2,2,0,2,2,1,3,0,0,0,0,0,Jake Bruns,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
25,1,1,6,1,2.166666667,2,2,3,1,2,3,1,2,0,0,0,1,1,2,0,0,0,1,0,Jake Digiorgio,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
26,1,1,6,1,2.166666667,2,2,3,1,2,3,1,2,0,0,0,1,1,2,0,0,0,1,0,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,1,1,6,1,2.166666667,2,2,3,1,2,3,1,2,0,0,0,1,1,2,0,0,0,1,0,Calvin Schmitz,0,1,1,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0
28,1,1,6,1,2.166666667,2,2,3,1,2,3,1,2,0,0,0,1,1,2,0,0,0,1,0,Capriest Gardner,2,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0
29,1,1,6,1,2.166666667,2,2,3,1,2,3,1,2,0,0,0,1,1,2,0,0,0,1,0,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,1,7,1,3.766666667,6,6,4,2,2,3,2,1,1,0,1,3,0,3,2,0,2,1,0,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,1,7,1,3.766666667,6,6,4,2,2,3,2,1,1,0,1,3,0,3,2,0,2,1,0,Jake Bruns,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0
32,1,1,7,1,3.766666667,6,6,4,2,2,3,2,1,1,0,1,3,0,3,2,0,2,1,0,Jake Digiorgio,4,0,1,1,3,2,1,3,2,1,0,0,0,0,0,0,0,0
33,1,1,7,1,3.766666667,6,6,4,2,2,3,2,1,1,0,1,3,0,3,2,0,2,1,0,Anthony Mosley,2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
34,1,1,7,1,3.766666667,6,6,4,2,2,3,2,1,1,0,1,3,0,3,2,0,2,1,0,Malik Howze,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
35,1,2,1,1,6.1166666670000005,12,8,10,4,6,10,4,6,0,0,0,3,3,6,3,3,0,2,0,Jake Digiorgio,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,2,1,1,6.1166666670000005,12,8,10,4,6,10,4,6,0,0,0,3,3,6,3,3,0,2,0,Max Hisatake,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0
37,1,2,1,1,6.1166666670000005,12,8,10,4,6,10,4,6,0,0,0,3,3,6,3,3,0,2,0,Anthony Mosley,3,0,0,0,4,1,3,3,1,2,1,0,1,0,0,1,1,0
38,1,2,1,1,6.1166666670000005,12,8,10,4,6,10,4,6,0,0,0,3,3,6,3,3,0,2,0,Malik Howze,3,0,1,1,2,1,1,0,0,0,2,1,1,0,0,0,0,0
39,1,2,1,1,6.1166666670000005,12,8,10,4,6,10,4,6,0,0,0,3,3,6,3,3,0,2,0,Parker Joncus,4,0,0,0,2,2,0,2,2,0,0,0,0,0,1,0,0,0
40,1,2,2,1,1.183333333,3,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,2,2,1,1.183333333,3,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
