team_id,team_name,player_id,player_name,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK
13,Albion,1,Adam_Davis,3,0.22,0.44,0.56,1,0.78,2.5,0.28,1.28,1.06,1.72,0.5,1.22,0.06
13,Albion,2,Aquavius_Burks,5.87,0.65,1.48,1.43,2,1.22,5.04,0.48,1.48,1.83,3,0.65,2.35,0
13,Albion,3,Arshawn_Parker,4.78,0.83,0.78,0.5,1.61,0.72,4.28,0.33,0.39,0.94,0.89,0.22,0.67,0
13,Albion,4,Austin_Thompson,0.4,0,0.6,0,0,0.4,0.2,0,0.2,0.4,0.2,0,0.2,0
13,Albion,5,Caden_Ebeling,5.48,0.32,0.64,0.8,2.04,1.08,5.32,0.08,1.84,1.4,3.84,1.16,2.68,0.12
13,Albion,6,Corey_Wheeler,13.14,0.86,2.64,1.77,4.41,3.45,9.55,0.95,1.95,4.68,4.68,1.5,3.18,0.18
13,Albion,7,Dylan_Bennett,2.95,0.89,0.47,0.21,1,0.05,3,0.32,1.42,0.11,1.26,0,1.26,0.05
13,Albion,9,Jaylen_Fordham,6.52,1.36,1.52,1.72,2.28,0.6,5.92,0.32,2.08,0.88,3.76,0.68,3.08,0.2
13,Albion,10,Juwan_Perry,5,0.64,1.07,0.79,1.71,0.93,3.86,0.21,1.36,1.5,1,0.43,0.57,0
13,Albion,11,Nathaniel_Collins,8.5,1.15,0.7,1.05,2.8,1.75,6.9,0.5,2.1,2.3,1.85,0.2,1.65,0.15
13,Albion,12,Nathan_Kellum,1.59,0,0.18,0.53,0.65,0.29,1.53,0.29,0.47,0.41,1.12,0.29,0.82,0.41
13,Albion,13,Ojani_Echevarria,1.5,0.5,0.67,0.67,0.5,0,2.33,0.17,0.33,0,1.5,0.5,1,0
13,Albion,14,Quinton_Armstrong,8.43,0.26,0.57,1.22,3.7,0.78,6.78,0.17,2.09,1.52,4.48,2.04,2.43,0.7
13,Albion,15,Robert_Ryan,3.56,0.52,2.12,1.28,1,1.04,3.32,0.48,1.04,1.32,1.6,0.44,1.16,0
13,Albion,16,Ryan_Lowe,7.17,0,0.96,1.22,3,1.17,4.43,0.17,2.35,1.91,5,1.91,3.09,0.35
7,Carthage,17,Adam_Radcliffe,0.4,0,0,0,0.2,0,0.6,0,0.2,0.2,0,0,0,0
