,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Unnamed: 6,Unnamed: 7,Type,Format,element_name,percentage_of_time,ppp,average_ppp,field_goal_percentage
0,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,Transition,0.142,0.929,0.971,0.45899999999999996
1,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,P&R Ball Handler,0.10099999999999999,0.871,0.971,0.47200000000000003
2,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,Isolation,0.048,0.905,0.971,0.5329999999999999
3,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,P&R Roll Man,0.045,0.82,0.971,0.423
4,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,Miscellaneous,0.067,0.664,0.971,0.375
5,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Off Screen,0.078,1.071,0.971,0.49200000000000005
6,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Spot Up,0.284,0.986,0.971,0.402
7,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Hand Off,0.037000000000000005,1.11,0.971,0.46
8,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Offensive Rebounds (put backs),0.045,1.247,0.971,0.619
9,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Cut,0.071,1.121,0.971,0.574
10,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Post-Up,0.08199999999999999,1.055,0.971,0.5479999999999999
11,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,Post-Up,0.094,0.742,0.8909999999999999,0.396
12,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,Miscellaneous,0.08800000000000001,0.591,0.8909999999999999,0.391
13,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,Hand Off,0.028999999999999998,0.741,0.8909999999999999,0.326
14,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,Isolation,0.044000000000000004,0.693,0.8909999999999999,0.358
15,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,P&R Ball Handler,0.125,0.809,0.8909999999999999,0.406
16,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Weakness,Defensive,Transition,0.17800000000000002,1.034,0.8909999999999999,0.498
17,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Weakness,Defensive,Cut,0.087,1.115,0.8909999999999999,0.584
