team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Type,Format,element_name,percentage_of_time,type_ppp,average_ppp,field_goal_percentage,Adjusted_Overall_Average_PPP,Adjusted_Type_PPP
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Offensive,Offensive Rebounds (put backs),0.075,1.213,0.87,0.628,0.953642452,1.329618729
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Offensive,Cut,0.066,1.087,0.87,0.566,0.953642452,1.191504994
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Offensive,Spot Up,0.315,0.914,0.87,0.36,0.953642452,1.001872645
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Offensive,Transition,0.136,1.028,0.87,0.456,0.953642452,1.12683269
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Post-Up,0.154,0.834,0.87,0.491,0.953642452,0.914181385
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Miscellaneous,0.082,0.404,0.87,0.28,0.953642452,0.442840863
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,P&R Roll Man,0.014,0.379,0.87,0.154,0.953642452,0.415437344
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Hand Off,0.017,0.833,0.87,0.393,0.953642452,0.913085244
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Isolation,0.043,0.596,0.87,0.328,0.953642452,0.653299886
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Off Screen,0.043,0.711,0.87,0.321,0.953642452,0.779356073
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,P&R Ball Handler,0.054,0.768,0.87,0.352,0.953642452,0.841836095
Carthage,25,80.44,80.44,0.976404392,0.967251566,Strength,Offensive,Cut,0.069,1.072,0.926,0.58,0.904150467,1.046705508
Carthage,25,80.44,80.44,0.976404392,0.967251566,Strength,Offensive,Transition,0.103,1.168,0.926,0.539,0.904150467,1.14044033
Carthage,25,80.44,80.44,0.976404392,0.967251566,Strength,Offensive,Post-Up,0.133,0.948,0.926,0.522,0.904150467,0.925631364
Carthage,25,80.44,80.44,0.976404392,0.967251566,Strength,Offensive,Spot Up,0.245,0.988,0.926,0.374,0.904150467,0.964687539
Carthage,25,80.44,80.44,0.976404392,0.967251566,Strength,Offensive,Offensive Rebounds (put backs),0.062,1.136,0.926,0.578,0.904150467,1.109195389
Carthage,25,80.44,80.44,0.976404392,0.967251566,Strength,Offensive,P&R Ball Handler,0.094,0.942,0.926,0.489,0.904150467,0.919772937
Carthage,25,80.44,80.44,0.976404392,0.967251566,Weakness,Offensive,Off Screen,0.095,0.838,0.926,0.368,0.904150467,0.81822688
Carthage,25,80.44,80.44,0.976404392,0.967251566,Weakness,Offensive,Hand Off,0.01,0.7,0.926,0.294,0.904150467,0.683483074
Carthage,25,80.44,80.44,0.976404392,0.967251566,Weakness,Offensive,P&R Roll Man,0.028,0.772,0.926,0.37,0.904150467,0.753784191
Carthage,25,80.44,80.44,0.976404392,0.967251566,Weakness,Offensive,Isolation,0.079,0.804,0.926,0.36,0.904150467,0.785029131
Carthage,25,80.44,80.44,0.976404392,0.967251566,Weakness,Offensive,Miscellaneous,0.081,0.399,0.926,0.3,0.904150467,0.389585352
Chicago,25,82.4,80.84,1.000195449,0.97206137,Strength,Offensive,Off Screen,0.137,1.025,0.892,0.398,0.892174341,1.025200335
Chicago,25,82.4,80.84,1.000195449,0.97206137,Strength,Offensive,Spot Up,0.217,0.913,0.892,0.346,0.892174341,0.913178445
Chicago,25,82.4,80.84,1.000195449,0.97206137,Strength,Offensive,Offensive Rebounds (put backs),0.071,1.041,0.892,0.55,0.892174341,1.041203462
Chicago,25,82.4,80.84,1.000195449,0.97206137,Strength,Offensive,P&R Roll Man,0.029,1.017,0.892,0.522,0.892174341,1.017198772
Chicago,25,82.4,80.84,1.000195449,0.97206137,Strength,Offensive,Cut,0.085,1.091,0.892,0.546,0.892174341,1.091213235
Chicago,25,82.4,80.84,1.000195449,0.97206137,Strength,Offensive,Transition,0.124,0.926,0.892,0.462,0.892174341,0.926180986
Chicago,25,82.4,80.84,1.000195449,0.97206137,Weakness,Offensive,Post-Up,0.083,0.837,0.892,0.472,0.892174341,0.837163591
Chicago,25,82.4,80.84,1.000195449,0.97206137,Weakness,Offensive,Isolation,0.026,0.685,0.892,0.275,0.892174341,0.685133883
Chicago,25,82.4,80.84,1.000195449,0.97206137,Weakness,Offensive,Miscellaneous,0.089,0.443,0.892,0.538,0.892174341,0.443086584
Chicago,25,82.4,80.84,1.000195449,0.97206137,Weakness,Offensive,P&R Ball Handler,0.067,0.848,0.892,0.446,0.892174341,0.848165741
Chicago,25,82.4,80.84,1.000195449,0.97206137,Weakness,Offensive,Hand Off,0.071,0.815,0.892,0.301,0.892174341,0.815159291
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Offensive,Cut,0.073,1.241,0.819,0.677,0.802401944,1.215849587
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Offensive,Post-Up,0.105,0.941,0.819,0.506,0.802401944,0.921929462
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Offensive,Transition,0.176,0.839,0.819,0.469,0.802401944,0.821996619
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Offensive,Spot Up,0.237,0.825,0.819,0.323,0.802401944,0.808280346
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Offensive,Offensive Rebounds (put backs),0.064,1.153,0.819,0.586,0.802401944,1.129633017
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Offensive,Hand Off,0.018,0.85,0.819,0.294,0.802401944,0.83277369
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Offensive,Miscellaneous,0.096,0.422,0.819,0.375,0.802401944,0.413447644
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Offensive,P&R Ball Handler,0.127,0.618,0.819,0.35,0.802401944,0.605475459
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Offensive,P&R Roll Man,0.044,0.76,0.819,0.371,0.802401944,0.744597652
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Offensive,Isolation,0.03,0.765,0.819,0.318,0.802401944,0.749496321
