Type,Format,team_name,element_name,percentage_of_time,ppp,average_ppp,field_goal_percentage
Strength,Defensive,WheatonIL,Spot Up,0.215,0.893,0.911,0.354
Strength,Defensive,WheatonIL,Miscellaneous,0.069,0.411,0.911,0.28
Strength,Defensive,WheatonIL,P&R Roll Man,0.035,0.907,0.911,0.429
Strength,Defensive,WheatonIL,Isolation,0.046,0.784,0.911,0.355
Strength,Defensive,WheatonIL,Post-Up,0.088,0.904,0.911,0.511
Strength,Defensive,WheatonIL,Off Screen,0.089,0.836,0.911,0.337
Strength,Defensive,WheatonIL,P&R Ball Handler,0.133,0.849,0.911,0.433
Strength,Defensive,Wabash,P&R Ball Handler,0.132,0.835,0.899,0.364
Strength,Defensive,Wabash,Post-Up,0.102,0.886,0.899,0.478
Strength,Defensive,Wabash,Off Screen,0.076,0.821,0.899,0.338
Strength,Defensive,Wabash,Hand Off,0.041,0.588,0.899,0.244
Strength,Defensive,Wabash,Miscellaneous,0.054,0.536,0.899,0.474
Strength,Defensive,UWPlatteville,Miscellaneous,0.084,0.383,0.821,0.261
Strength,Defensive,UWPlatteville,Off Screen,0.064,0.701,0.821,0.294
Strength,Defensive,UWPlatteville,Isolation,0.064,0.792,0.821,0.382
Strength,Defensive,UWPlatteville,P&R Ball Handler,0.11,0.626,0.821,0.322
Strength,Defensive,Rose-Hulman,Miscellaneous,0.072,0.467,0.923,0.286
Strength,Defensive,Rose-Hulman,Isolation,0.04,0.812,0.923,0.431
Strength,Defensive,Rose-Hulman,Hand Off,0.051,0.872,0.923,0.409
Strength,Defensive,Rose-Hulman,Off Screen,0.063,0.797,0.923,0.351
Strength,Defensive,Rose-Hulman,Post-Up,0.073,0.831,0.923,0.443
Strength,Defensive,Rose-Hulman,P&R Ball Handler,0.129,0.843,0.923,0.446
Strength,Defensive,Roosevelt,Isolation,0.077,0.718,0.841,0.347
Strength,Defensive,Roosevelt,Miscellaneous,0.086,0.435,0.841,0.346
Strength,Defensive,Roosevelt,P&R Roll Man,0.025,0.758,0.841,0.419
Strength,Defensive,Roosevelt,Off Screen,0.037,0.742,0.841,0.299
Strength,Defensive,Roosevelt,P&R Ball Handler,0.094,0.771,0.841,0.375
Strength,Defensive,OlivetCollege,Miscellaneous,0.1,0.378,0.914,0.303
Strength,Defensive,OlivetCollege,P&R Ball Handler,0.046,0.847,0.914,0.416
