Type,Format,team_name,element_name,percentage_of_time,ppp,overall_average_ppp,field_goal_percentage
Strength,Offensive,WheatonIL,Cut,0.098,1.32,0.989,0.681
Strength,Offensive,WheatonIL,Offensive Rebounds (put backs),0.062,1.185,0.989,0.628
Strength,Offensive,WheatonIL,Hand Off,0.047,1.01,0.989,0.407
Strength,Offensive,WheatonIL,Transition,0.148,1.167,0.989,0.573
Strength,Offensive,WheatonIL,Off Screen,0.133,1.054,0.989,0.42
Strength,Offensive,Wabash,Transition,0.106,0.909,0.885,0.423
Strength,Offensive,Wabash,Post-Up,0.108,0.964,0.885,0.503
Strength,Offensive,Wabash,Spot Up,0.238,0.956,0.885,0.364
Strength,Offensive,Wabash,P&R Roll Man,0.038,0.975,0.885,0.532
Strength,Offensive,Wabash,Hand Off,0.04,0.952,0.885,0.412
Strength,Offensive,Wabash,Cut,0.05,1.124,0.885,0.6
Strength,Offensive,Wabash,Offensive Rebounds (put backs),0.06,1,0.885,0.529
Strength,Offensive,UWPlatteville,Offensive Rebounds (put backs),0.065,1.16,1,0.596
Strength,Offensive,UWPlatteville,Cut,0.081,1.244,1,0.645
Strength,Offensive,UWPlatteville,Transition,0.143,1.187,1,0.583
Strength,Offensive,UWPlatteville,Spot Up,0.249,1.1,1,0.425
Strength,Offensive,UWPlatteville,Hand Off,0.022,1.25,1,0.5
Strength,Offensive,Rose-Hulman,Cut,0.09,1.144,0.964,0.637
Strength,Offensive,Rose-Hulman,Spot Up,0.222,1.065,0.964,0.418
Strength,Offensive,Rose-Hulman,P&R Roll Man,0.045,1.245,0.964,0.568
Strength,Offensive,Rose-Hulman,Offensive Rebounds (put backs),0.056,1.085,0.964,0.571
Strength,Offensive,Rose-Hulman,Transition,0.078,1.092,0.964,0.562
Strength,Offensive,Rose-Hulman,Off Screen,0.094,1.01,0.964,0.398
Strength,Offensive,Roosevelt,Transition,0.147,1.14,0.945,0.551
Strength,Offensive,Roosevelt,Off Screen,0.082,1.039,0.945,0.419
Strength,Offensive,Roosevelt,Offensive Rebounds (put backs),0.043,1.093,0.945,0.584
Strength,Offensive,Roosevelt,Spot Up,0.223,1.047,0.945,0.406
Strength,Offensive,Roosevelt,P&R Roll Man,0.035,1.195,0.945,0.548
Strength,Offensive,Roosevelt,Cut,0.085,1.147,0.945,0.631
Strength,Offensive,OlivetCollege,Post-Up,0.034,0.944,0.879,0.521
Strength,Offensive,OlivetCollege,Cut,0.073,1.016,0.879,0.53
Strength,Offensive,OlivetCollege,Offensive Rebounds (put backs),0.073,1.036,0.879,0.521
Strength,Offensive,OlivetCollege,Transition,0.251,1.044,0.879,0.537
