team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,,
Carthage,25,80.44,80.44,0.976404392,0.967251566,,
Chicago,25,82.4,80.84,1.000195449,0.97206137,,
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,,
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,,
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,,
Fontbonne,15,99.93333333,102.6666667,1.213020209,1.234516337,,
Knox,17,79,81.64705882,0.958925249,0.981765857,,
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,,
MSOE,26,80.34615385,79.96153846,0.97526526,0.961498301,,
Roosevelt,34,73,74.17647059,0.886095483,0.891935696,,
Wabash,26,80.11538462,79.26923077,0.972464115,0.95317364,,
WheatonIL,26,81.07692308,81.92307692,0.984135552,0.985084839,,
Kalamazoo,25,80.08,82.6,0.972034606,0.993224507,,
NorthPark,25,78.6,80.88,0.954069931,0.972542351,,
UWPlatteville,29,76.31034483,77.24137931,0.926277423,0.92878972,,
OlivetCollege,28,93.82142857,92.21428571,1.13883211,1.10883158,,
Rose-Hulman,26,79.88461538,81.53846154,0.96966297,0.980460028,,
GustavusAdolphus,25,73.36,73.32,0.890465269,0.881637057,,
IllinoisTech,19,82.10526316,78.63157895,0.996617847,0.94550619,,
,,,,,,,
League_AVG,,82.38389814,83.1634735,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,·
