team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Type,Format,element_name,percentage_of_time,type_ppp,average_ppp,field_goal_percentage,Adjusted_Overall_Average_PPP,Adjusted_Type_PPP,score_difference
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Offensive,Offensive Rebounds (put backs),0.075,1.213,0.87,0.628,0.953642452,1.329618729,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Offensive,Cut,0.066,1.087,0.87,0.566,0.953642452,1.191504994,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Offensive,Spot Up,0.315,0.914,0.87,0.36,0.953642452,1.001872645,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Offensive,Transition,0.136,1.028,0.87,0.456,0.953642452,1.12683269,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Post-Up,0.154,0.834,0.87,0.491,0.953642452,0.914181385,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Miscellaneous,0.082,0.404,0.87,0.28,0.953642452,0.442840863,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,P&R Roll Man,0.014,0.379,0.87,0.154,0.953642452,0.415437344,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Hand Off,0.017,0.833,0.87,0.393,0.953642452,0.913085244,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Isolation,0.043,0.596,0.87,0.328,0.953642452,0.653299886,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,Off Screen,0.043,0.711,0.87,0.321,0.953642452,0.779356073,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Offensive,P&R Ball Handler,0.054,0.768,0.87,0.352,0.953642452,0.841836095,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Defensive,Transition,0.142,0.929,0.971,0.459,1.010210435,0.966514412,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Defensive,P&R Ball Handler,0.101,0.871,0.971,0.472,1.010210435,0.906172285,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Defensive,Isolation,0.048,0.905,0.971,0.533,1.010210435,0.941545256,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Defensive,P&R Roll Man,0.045,0.82,0.971,0.423,1.010210435,0.853112828,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Strength,Defensive,Miscellaneous,0.067,0.664,0.971,0.375,1.010210435,0.690813315,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Defensive,Off Screen,0.078,1.071,0.971,0.492,1.010210435,1.114248584,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Defensive,Spot Up,0.284,0.986,0.971,0.402,1.010210435,1.025816157,5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Weakness,Defensive,Hand Off,0.037,1.11,0.971,0.46,1.010210435,1.154823463,5
