#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,Vaughn College Warriors,1,1.1%,1,0,0,0,0,0,-,-,100%,0%,0%,0%
2,Thomas (ME) Terriers,4,6%,5.5,2,0.364,3,0.5,3.5,14.3%,14.3%,22.7%,13.6%,9.1%,22.7%
3,Lesley Lynx,5,2.2%,1.6,0.6,0.375,0.8,0.2,1,20%,20%,25%,12.5%,12.5%,25%
4,Maine Farmington,7,2.4%,2.1,0.9,0.4,1.3,0.3,1.6,18.2%,27.3%,26.7%,0%,0%,13.3%
5,Husson,24,6.7%,6,2.6,0.441,3.2,0.9,4.1,22.4%,23.5%,19.6%,13.3%,7.7%,22.4%
6,Rust College Bearcats,7,1.9%,1.7,0.9,0.5,0.9,0.4,1.3,33.3%,33.3%,25%,0%,0%,25%
7,Randolph-Macon Yellow Jackets,26,6.3%,4.8,2.4,0.508,2.6,0.9,3.5,25.3%,27.5%,19.4%,7.3%,5.6%,24.2%
8,Colby-Sawyer Chargers,3,5.5%,5,2.7,0.533,3,1.3,4.3,30.8%,30.8%,6.7%,6.7%,0%,26.7%
9,Fitchburg State,6,2.1%,1.8,1,0.545,0.7,0.3,1,33.3%,33.3%,36.4%,9.1%,0%,27.3%
10,Catholic University Cardinals,25,2.6%,2.1,1.2,0.558,1,0.4,1.4,30.6%,30.6%,19.2%,13.5%,9.6%,28.8%
11,Farmingdale State Rams,26,4%,3.5,2,0.567,1.3,0.7,2,36.5%,38.5%,32.2%,14.4%,8.9%,27.8%
12,Mitchell College (CT) Mariners,9,4.3%,4.1,2.3,0.568,2.2,0.9,3.1,28.6%,28.6%,13.5%,13.5%,13.5%,29.7%
13,Southern Maine,13,5.1%,4.5,2.5,0.569,2.3,0.8,3.1,25%,25%,13.8%,17.2%,8.6%,29.3%
14,Rhodes College Lynx,26,0.8%,0.8,0.5,0.571,0.3,0.1,0.4,18.2%,18.2%,23.8%,28.6%,28.6%,28.6%
15,Transylvania University Pioneers,26,4.6%,3.9,2.2,0.574,1.9,0.8,2.7,29%,29.7%,17.8%,16.8%,10.9%,29.7%
16,Southern Vermont Mountaineers,6,7.2%,6.7,3.8,0.575,3,1.5,4.5,33.3%,33.3%,22.5%,10%,5%,30%
17,SUNY Cobleskill Fighting Tigers,11,3.6%,3,1.7,0.576,1.4,0.5,1.9,28.6%,31%,27.3%,12.1%,6.1%,27.3%
18,DeSales,27,4.5%,3.7,2.2,0.584,1.9,0.7,2.6,28.6%,30.7%,18.8%,11.9%,9.9%,29.7%
19,Morrisville State,16,3.9%,3.3,1.9,0.585,1.9,0.8,2.7,27.9%,30.2%,15.1%,5.7%,5.7%,26.4%
20,McDaniel Green Terror,24,4.7%,3.3,2,0.587,1.6,0.8,2.4,32.8%,34.5%,21.3%,8.8%,7.5%,28.8%
21,Keene State Owls,16,6.4%,5.8,3.4,0.587,2.5,1.3,3.8,33.3%,35%,25%,12%,6.5%,30.4%
22,Wisconsin-(La Crosse) Eagles,26,6.8%,5.2,3,0.59,2.2,0.9,3.1,29.6%,32.7%,27.6%,13.4%,6.7%,28.4%
23,Stevens (NJ) Ducks,26,4.4%,3.8,2.3,0.59,1.8,1,2.8,36.1%,36.8%,20%,9%,7%,31%
24,Cazenovia,12,5.5%,4.9,2.9,0.593,2.2,1.1,3.3,33.3%,35.9%,16.9%,20.3%,10.2%,28.8%
25,Roanoke Maroons,28,4.6%,3.6,2.2,0.598,1.8,0.9,2.7,32%,34%,19.6%,7.8%,5.9%,29.4%
26,UMass Boston Beacons,25,4.8%,4,2.4,0.6,1.9,0.7,2.6,27.3%,32.6%,21%,15%,9%,28%
27,Claremont-Mudd-Scripps Stags,25,6.1%,4.8,2.9,0.6,2.4,1,3.4,29.1%,30.8%,17.5%,13.3%,10.8%,29.2%
28,Ohio Wesleyan,28,4.2%,3.6,2.2,0.604,2.1,0.8,2.9,28.4%,29%,9.9%,10.9%,8.9%,30.7%
29,Saint Joseph's (ME) Monks,24,5.8%,4.8,2.9,0.605,2.4,1,3.4,28.4%,30.2%,14.9%,14.9%,9.6%,33.3%
30,Emmanuel (MA) Saints,22,3.9%,3.2,2,0.606,1.2,0.6,1.9,34.1%,36.6%,25.4%,18.3%,11.3%,32.4%
31,Grove City Wolverines,26,9.8%,7.7,4.7,0.607,3.9,1.6,5.5,28.9%,30.3%,16.9%,13.4%,12.4%,31.3%
32,Trine University Thunder,25,7.1%,5.9,3.6,0.608,2.9,1.3,4.2,31.4%,33.8%,21.6%,8.1%,5.4%,29.1%
33,Arcadia University Knights,29,5%,4.1,2.5,0.613,1.9,0.8,2.7,29.5%,30.8%,22.7%,17.6%,10.1%,29.4%
34,Cabrini Caveliers,29,6.3%,5.4,3.3,0.614,2.8,1.1,3.9,27.4%,29.2%,15.8%,14.6%,11.4%,29.7%
35,Tufts Jumbos,24,6.1%,5.3,3.3,0.617,3,1.3,4.3,29.1%,31.6%,11.7%,9.4%,6.3%,30.5%
36,Lancaster Bible Chargers,28,7.3%,6.3,3.9,0.617,3.1,1.3,4.4,28.7%,33.6%,20.6%,10.9%,9.1%,29.1%
37,US Merchant Marine Academy,8,3.1%,2.6,1.6,0.619,1.1,0.4,1.5,25%,29.2%,19%,23.8%,23.8%,38.1%
38,Salisbury Sea Gulls,27,4.5%,3.6,2.2,0.619,1.4,0.7,2.1,33.3%,33.3%,26.8%,16.5%,9.3%,32%
39,Greenville Panthers,18,0.7%,0.9,0.6,0.625,0.4,0.2,0.7,33.3%,33.3%,18.8%,6.3%,0%,31.3%
40,Wisconsin-(Stevens Point) Pointers,30,4.7%,3.3,2.1,0.633,1.5,0.8,2.2,34.3%,35.8%,21.4%,11.2%,5.1%,32.7%
41,Franklin Grizzlies,25,4.9%,3.9,2.5,0.633,2,0.9,2.9,30.6%,33.3%,15.3%,14.3%,10.2%,31.6%
42,Whitworth Pirates,29,7.7%,6.7,4.2,0.634,3.2,1.6,4.8,33.3%,36.6%,20.1%,10.3%,9.3%,30.4%
43,Methodist Monarchs,28,3.3%,3,1.9,0.639,1.4,0.7,2.1,32.8%,32.8%,19.3%,10.8%,8.4%,33.7%
44,Trinity (TX) Tigers,28,3.9%,3.3,2.1,0.645,1.3,0.7,2,33.9%,35.7%,23.7%,16.1%,14%,34.4%
45,York (PA) Spartans,30,6.3%,5.5,3.5,0.646,2.6,1.4,4,35.3%,36.6%,17.7%,12.2%,7.9%,32.9%
46,SUNY Delhi Broncos,12,3.1%,2.8,1.8,0.647,1.3,0.8,2,37.5%,37.5%,17.6%,14.7%,14.7%,35.3%
47,Rochester Institute of Technology Tigers,27,4.6%,3.8,2.4,0.647,2,1,3,32.9%,36%,14.7%,4.9%,3.9%,31.4%
48,Hope College Flying Dutchmen,27,5.9%,4.9,3.2,0.647,2.4,1.1,3.5,31.6%,32.6%,18.8%,16.5%,15%,30.8%
49,Millsaps Majors,28,5.3%,4.5,2.9,0.648,2.2,1,3.2,32.2%,33.9%,19.2%,11.2%,8.8%,32%
50,Texas-(Dallas) Comets,26,6.6%,5.5,3.6,0.65,2.3,1.1,3.5,32.2%,35%,23.1%,18.2%,13.3%,30.1%
51,Ramapo College RoadRunners,30,4.7%,3.9,2.5,0.65,2.1,1,3.1,33%,36.2%,15.4%,6%,5.1%,29.9%
52,Pennsylvania College of Technology Wildcats,9,2.9%,2.6,1.7,0.652,1.2,0.8,2,38.9%,38.9%,17.4%,4.3%,4.3%,34.8%
53,Wells,12,2.6%,2.4,1.6,0.655,1.3,0.5,1.8,27.3%,34.1%,6.9%,17.2%,10.3%,34.5%
54,Alfred State Pioneers,15,5.1%,4.5,2.9,0.657,2.3,1.2,3.5,34.6%,37.5%,11.9%,11.9%,9%,32.8%
55,Mount Aloysius Mounties,24,2%,1.6,1,0.658,0.8,0.3,1.1,26.9%,32.7%,15.8%,18.4%,5.3%,31.6%
56,Augsburg University Auggies,29,6.4%,5,3.3,0.658,2.4,1,3.4,29.6%,31.6%,19.9%,14.4%,12.3%,32.9%
57,SUNY Potsdam,25,9.6%,8.4,5.5,0.66,4,1.9,5.9,32.4%,34.5%,16.3%,14.8%,11.5%,33.5%
58,Western Connecticut State,15,4.5%,3.9,2.6,0.661,1.7,0.8,2.5,31.6%,32.9%,25.4%,16.9%,15.3%,30.5%
59,Trinity College (CT) Bantams,24,6.1%,5,3.3,0.661,2.1,1,3.1,32%,32.7%,20.7%,19%,14.9%,36.4%
60,Nazareth College Golden Flyers,27,7.4%,6.3,4.2,0.661,2.7,1.6,4.3,37.6%,39.7%,22.8%,9.4%,8.2%,33.3%
61,Minnesota Morris Cougars,27,3.3%,2.9,1.9,0.662,1.4,0.7,2.1,34.5%,37.9%,16.9%,7.8%,7.8%,32.5%
62,Allegheny Gators,25,3.1%,2.6,1.7,0.662,1.3,0.6,1.9,31.3%,33.3%,13.8%,13.8%,12.3%,33.8%
63,Oswego State Lakers,27,5%,3.9,2.6,0.663,2,1,3,33.8%,35.6%,16.3%,13.5%,13.5%,32.7%
64,Springfield (MA) Pride,30,6.4%,5.2,3.5,0.667,2.4,1.3,3.8,35.4%,36.3%,17.9%,11.5%,9%,34%
65,Hampden-Sydney Tigers,26,3.1%,2.7,1.8,0.667,1.3,0.6,2,31.4%,33.3%,17.4%,10.1%,5.8%,31.9%
66,Maryville (TN) Scots,29,5.3%,4.5,3,0.672,1.8,1.1,2.9,38.8%,40.6%,26%,11.5%,11.5%,34.4%
67,Swarthmore Garnet,31,3.2%,2.6,1.7,0.675,1.3,0.6,1.9,33.9%,37.3%,16.3%,12.5%,10%,32.5%
68,Occidental Tigers,25,7.9%,6,4.1,0.675,3.4,1.4,4.8,28.6%,32.4%,8.6%,15.2%,11.9%,32.5%
69,Mount St. Mary College Blue Knights,12,3.4%,2.6,1.8,0.677,0.9,0.7,1.6,42.1%,42.1%,22.6%,16.1%,9.7%,38.7%
70,MIT Engineers,32,9.6%,7.5,5.1,0.679,3.4,1.8,5.2,34.3%,36.4%,20%,13.8%,12.1%,33.3%
71,Williams College Ephs,29,5.5%,4.4,3,0.68,2.1,1,3.1,31.9%,34.1%,17.2%,14.1%,7.8%,32.8%
