#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,Youngstown State Penguins,32,100%,83.3,82.1,0.985,28.7,29.4,58.1,50.6%,57.5%,18.1%,15%,9.6%,45.3%
2,Young Harris Mountain Lions,28,100%,86.9,77.4,0.891,34.2,29.1,63.4,46%,50.9%,17%,11.4%,7.4%,42.1%
3,York (PA) Spartans,30,100%,87.4,74.2,0.849,36.5,26.8,63.3,42.4%,48.6%,17.2%,12.2%,8.4%,39.4%
4,York (ONT) Lions,29,100%,94.4,79.9,0.846,39.8,27.3,67.2,40.7%,46.4%,16.9%,14.5%,11.3%,39.8%
5,York (NY) Cardinals,18,100%,88.7,74.6,0.841,35.7,26.1,61.8,42.2%,48.4%,18.9%,13.6%,8.5%,39.2%
6,York (NE) Panthers,29,100%,93.1,82.3,0.883,37.8,28.7,66.5,43.2%,49.8%,17.3%,13.4%,8.3%,40.2%
7,Yeshiva Maccabees,11,100%,88.1,76.1,0.864,35.5,27.6,63.2,43.7%,48.1%,15.9%,14%,9.3%,41.9%
8,Yellowstone Christian College,17,100%,92.8,102.8,1.108,34.5,40.5,75,54%,61.8%,12.1%,9.1%,7.7%,49.7%
9,Yale Bulldogs,31,100%,78.5,73.3,0.933,31.3,26.5,57.7,45.8%,51.7%,15.6%,13.6%,10.1%,42.5%
10,Xavier Musketeers,35,100%,80.5,73.7,0.916,35.7,26.7,62.4,42.9%,49.6%,13.6%,10.6%,7.9%,41.2%
11,Xavier (LA) Gold Rush,32,100%,81.1,64.8,0.798,33.3,21.3,54.6,39.1%,44.9%,19.4%,14.8%,9.6%,37.7%
12,Wyoming Cowboys,33,100%,86,77.4,0.9,34.3,26.8,61.1,43.9%,50.3%,16.6%,14.2%,9%,42%
13,Wright State-Lake,10,100%,95.2,94.6,0.994,35.6,35.7,71.3,50.1%,55.7%,15%,12.8%,9.9%,46.5%
14,Wright State Raiders,35,100%,78.7,65.6,0.833,33.3,23.2,56.5,41%,47.8%,18.6%,11.3%,8.2%,37.9%
15,Worcester State Lancers,9,100%,87.6,85.2,0.973,32.8,31.6,64.3,49.1%,55.4%,15%,13.5%,8.4%,45.4%
16,Worcester Polytechnic Engineers,28,100%,78,72.3,0.927,30.3,24.3,54.6,44.4%,52.4%,18.2%,14.4%,8.9%,41.3%
17,Wooster Fighting Scots,28,100%,79.5,70.5,0.886,34.6,24.9,59.6,41.8%,48.5%,14.7%,12.4%,8.7%,40.1%
18,Wofford Terriers,34,100%,75.9,70.7,0.931,30.4,24.5,54.9,44.6%,52.3%,16.7%,13.1%,9.5%,42%
19,Wittenberg,30,100%,78.4,66,0.843,34.2,24.4,58.6,41.6%,48.2%,16.9%,10%,7.2%,38.1%
20,Wisconsin-(Whitewater) Warhawks,25,100%,75.6,64.8,0.858,31.3,22.6,53.9,42%,48%,17.2%,13.3%,8.6%,39.6%
21,Wisconsin-(Superior) Yellowjackets,27,100%,72.9,74,1.015,29.5,28.2,57.7,48.9%,55.5%,11.9%,10.8%,7.5%,46.1%
22,Wisconsin-(Stout) Blue Devils,25,100%,74.6,74.6,1.001,29.4,27,56.4,47.8%,57.4%,15.6%,11.2%,8.4%,43.7%
23,Wisconsin-(Stevens Point) Pointers,30,100%,70.1,62.9,0.897,27.6,22.4,50,44.8%,51.8%,18.6%,12.5%,9.1%,40.5%
24,Wisconsin-(River Falls) Falcons,27,100%,75.1,68,0.905,31.9,23.6,55.5,42.5%,50.5%,15.8%,12.6%,8.8%,40.1%
25,Wisconsin-(Platteville) Pioneers,29,100%,77.2,63.4,0.821,33,22.3,55.3,40.3%,46.2%,17.8%,12.3%,8.5%,38.1%
26,Wisconsin-(Parkside) Rangers,30,100%,72.2,70,0.97,27.9,25.4,53.3,47.6%,54.6%,15.6%,12%,9.4%,44.6%
27,Wisconsin-(Oshkosh) Titans,33,100%,75.2,66.2,0.88,33.6,24.3,57.9,42%,47.7%,13.7%,11%,7.3%,40.1%
28,Wisconsin-(Milwaukee) Panthers,33,100%,75.5,68,0.902,32.1,24.5,56.6,43.3%,50.4%,15.9%,11%,7.4%,40.5%
29,Wisconsin-(La Crosse) Eagles,26,100%,75.3,66.3,0.881,27.2,22.3,49.5,45.1%,51.3%,21.2%,15.3%,9.2%,41.1%
30,Wisconsin-(Green Bay) Phoenix,33,100%,85.9,75.5,0.879,36.5,27.2,63.7,42.7%,48.7%,15.5%,12.5%,8%,40.4%
31,Wisconsin-(Eau Claire) Blugold,25,100%,73,66.7,0.913,30.4,24,54.4,44.2%,50.7%,16.1%,11.4%,7.9%,41.1%
32,Wisconsin Lutheran Warriors,25,100%,85.9,82.8,0.964,34.2,30.4,64.5,47.1%,53.9%,14.7%,12.5%,8.2%,43.9%
33,Wisconsin Badgers,33,100%,71.2,65.4,0.919,28.6,24.1,52.7,45.7%,51%,15.8%,12.3%,7.4%,42.5%
34,Winthrop Eagles,29,100%,81.1,71.9,0.886,34,25.4,59.3,42.8%,49.1%,16.2%,12.3%,8.3%,40.7%
35,Winston-Salem Rams,24,100%,86,78.7,0.915,31.8,27.4,59.2,46.3%,52%,17.5%,16%,9.8%,43.6%
36,Winona State Warriors,29,100%,75.5,72.2,0.957,30.8,26.3,57.1,46.1%,53.8%,15.3%,11%,7.9%,42.7%
37,Winnipeg Wesmen,23,100%,94.9,79.4,0.836,41.5,30.6,72.1,42.4%,49.1%,17.6%,7.6%,6%,37.6%
38,Wingate University Bulldogs,30,100%,80.9,73.5,0.909,33.1,27.2,60.3,45.1%,51.3%,16.1%,11.7%,8.7%,41.7%
39,Windsor Lancers,28,100%,96.8,85.5,0.883,42.5,29.9,72.4,41.3%,48.3%,15.2%,11.9%,9.6%,40.1%
40,Wilson,17,100%,89.5,75.2,0.84,37.2,27.9,65.1,42.9%,48.4%,17%,11.8%,7.6%,39.4%
41,Wilmington (OH) Quakers,25,100%,89.9,82.1,0.914,32,28.6,60.6,47.2%,52.4%,19.4%,15.9%,9.7%,43.6%
42,Wilmington (DE) Wildcats,29,100%,85.5,72.4,0.847,35.8,26.7,62.5,42.7%,48.2%,17.1%,12.1%,9.1%,39.5%
43,Williams College Ephs,29,100%,79.6,62.1,0.78,37.3,23.1,60.4,38.2%,43.9%,16.3%,9.6%,7.4%,35.6%
44,Williams Baptist Eagles,30,100%,85.4,78.1,0.914,33.6,29.9,63.6,47.1%,53.3%,17.1%,10.6%,8.2%,41.9%
45,William Woods University Owls,31,100%,79.7,72.4,0.908,33.1,25.5,58.6,43.5%,50.3%,15.4%,13.2%,9.5%,41.5%
