#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,Vaughn College Warriors,1,1.1%,1,0,0,1,0,1,0%,0%,0%,0%,0%,0%
2,US Merchant Marine Academy,8,1.8%,1.5,0.3,0.167,0.8,0,0.8,0%,0%,33.3%,16.7%,0%,8.3%
3,Berkeley (NJ) Knights,1,6.5%,6,1,0.167,4,0,4,0%,0%,16.7%,16.7%,16.7%,16.7%
4,Lycoming College Warriors,26,3.7%,3.3,1.5,0.46,1.6,0.6,2.2,26.3%,28.9%,25.3%,10.3%,5.7%,21.8%
5,SUNY Delhi Broncos,12,5.8%,5.3,2.7,0.5,2.8,1.1,3.8,28.3%,31.5%,23.4%,4.7%,3.1%,23.4%
6,Pratt Institute Cannoneers,2,1.1%,1,0.5,0.5,0.5,0,0.5,0%,0%,0%,50%,50%,50%
7,Massachusetts College of Liberal Arts (MCLA),8,4.5%,4,2,0.5,1.1,0.8,1.9,40%,40%,43.8%,12.5%,9.4%,28.1%
8,Valley Forge Christian College Patriots,6,9.7%,8,4.2,0.521,5.3,1.8,7.2,25.6%,26.7%,8.3%,8.3%,6.3%,22.9%
9,Framingham State Rams,9,8.7%,6.8,3.7,0.541,3.2,1.6,4.8,32.6%,33.7%,24.6%,6.6%,4.9%,27.9%
10,Lehman,23,6.8%,6.2,3.4,0.552,2.9,1.2,4,29%,30.6%,23.1%,13.3%,7.7%,27.3%
11,Carroll (WI) Pioneers,25,8.2%,6.2,3.4,0.552,2.7,1.2,3.9,31.6%,34.2%,27.9%,11.7%,9.1%,26.6%
12,Johns Hopkins Blue Jays,29,12.4%,9.5,5.3,0.562,3.8,2,5.9,34.7%,36.2%,30.1%,9.4%,5.8%,28.3%
13,SUNY New Paltz Hawks,25,7.4%,6.4,3.7,0.581,3.3,1.3,4.6,28.4%,30.6%,18.1%,10.6%,8.8%,28.8%
14,Lyndon State Hornets,7,6.2%,6.1,3.6,0.581,3.6,1.4,5,28.6%,30%,11.6%,7%,7%,30.2%
15,New England Col.,8,7.5%,6.9,4,0.582,2.6,1.6,4.3,38.2%,38.2%,29.1%,10.9%,5.5%,29.1%
16,Farmingdale State Rams,26,7.2%,6.2,3.6,0.584,3,1.2,4.2,28.7%,31.9%,23.6%,11.2%,9.3%,28.6%
17,Pomona-Pitzer Saghens,21,7.9%,6.1,3.6,0.586,3.1,1.3,4.4,29%,33.3%,19.5%,10.2%,9.4%,28.1%
18,Mount Ida College Mustangs,14,8.2%,7.4,4.4,0.587,3,1.3,4.3,30%,32.5%,29.8%,13.5%,5.8%,28.8%
19,Roanoke Maroons,28,8.2%,6.5,3.8,0.588,2.8,1.4,4.2,33.3%,36.8%,30.2%,9.3%,7.7%,26.9%
20,Keene State Owls,16,9.4%,8.5,5,0.588,4.6,1.8,6.4,27.5%,30.9%,16.2%,11%,6.6%,27.9%
21,Williams College Ephs,29,10.6%,8.4,5,0.59,4.1,1.8,5.9,30.2%,32.6%,20.5%,11.5%,8.6%,29.1%
22,Kalamazoo College Hornets,25,6.9%,5.7,3.4,0.592,2.4,1,3.5,29.9%,32.2%,25.4%,14.1%,8.5%,29.6%
