#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,Muskingum,25,19.4%,16.2,17.6,1.086,7,6.6,13.6,48.8%,55.6%,6.7%,13.8%,9.6%,49.5%
2,Luther,25,13.5%,10.4,9.4,0.911,4.2,3.2,7.4,42.7%,46.5%,15.1%,17.8%,13.1%,43.2%
3,Newbury,5,13.2%,12.4,8.4,0.677,4.6,2.8,7.4,37.8%,43.2%,25.8%,17.7%,16.1%,32.3%
4,Johnson & Wales Denver Wildcats,21,12.3%,10.3,9.5,0.922,4.1,3.4,7.5,44.9%,48.7%,14.7%,14.7%,11.5%,43.8%
5,Wells,12,11.7%,10.1,5.8,0.579,5.6,2.2,7.8,28%,32.3%,14%,10.7%,8.3%,28.1%
6,William Paterson Pioneers,29,11.5%,9.8,8.2,0.838,4.1,3.1,7.2,42.9%,44.8%,14.1%,15.1%,12%,42.3%
7,Grinnell,6,11.4%,12.7,9.3,0.737,5.3,3,8.3,36%,36%,17.1%,18.4%,14.5%,38.2%
8,Rust College Bearcats,7,11.3%,9.9,7,0.71,5,2.6,7.6,34%,40.6%,15.9%,8.7%,7.2%,31.9%
9,North Park Vikings,26,11.2%,8.5,6.8,0.801,4.6,2.3,6.9,33.9%,39.7%,9.5%,12.2%,10.9%,35.3%
10,Elmira,24,11.2%,10.1,8.7,0.856,4.4,3.3,7.6,42.6%,43.4%,11.1%,18.1%,14.8%,43.6%
11,Johnson State,4,11%,10,6,0.6,6.3,2.3,8.5,26.5%,29.4%,10%,5%,5%,27.5%
12,Rivier,10,10.6%,9.2,7.3,0.793,4.1,2.3,6.4,35.9%,39.8%,15.2%,15.2%,14.1%,40.2%
13,Western Connecticut State,15,10.4%,9.1,8.5,0.934,4.1,2.9,7.1,41.5%,48.6%,11.8%,14%,12.5%,41.2%
14,Olivet Comets,29,10.3%,9.3,7.5,0.801,4.3,2.9,7.2,39.7%,42.3%,13.3%,13.3%,10.3%,38.7%
15,Mary Hardin-Baylor Crusaders,25,10.2%,8.9,8.3,0.933,3.6,2.9,6.6,44.5%,48.8%,13.5%,16.1%,14.3%,44.8%
16,Lakeland (WI) Muskies,26,9.8%,8.9,6.5,0.728,4.5,2.5,7,36.3%,39%,14.2%,9.5%,7.8%,34.9%
17,Pitt Bradford Panthers,24,9.4%,8.1,6.3,0.774,3.9,2.1,6,35.4%,37.5%,14.4%,16.4%,12.8%,37.4%
18,SUNY Cortland Dragons,24,9.2%,7.2,7.6,1.058,3.3,2.6,5.9,44%,51.8%,7.6%,13.4%,9.9%,45.9%
19,Coast Guard Academy Bears,23,9.2%,8,6,0.754,3.2,2,5.2,39.2%,40.4%,16.4%,19.1%,15.3%,40.4%
20,Medgar Evers Cougars,18,9.2%,8.6,6.6,0.761,4.3,2.7,7,38.1%,41.7%,13.5%,9%,6.5%,34.8%
21,Wisconsin-(Whitewater) Warhawks,25,9.2%,6.9,5.5,0.802,3,2.1,5.2,41.1%,45.3%,16.3%,11%,8.1%,39%
22,Mount Aloysius Mounties,24,9.1%,7.2,5,0.703,3,1.7,4.7,36.6%,38.8%,21.5%,15.7%,14%,34.3%
23,Centenary Gentlemen,25,9.1%,7.6,6.7,0.884,3.4,2.4,5.8,42.1%,45.2%,12.2%,13.2%,12.7%,42.3%
24,Thomas More Saints,28,9.1%,6.7,5.5,0.824,3,2.3,5.3,43.5%,44.9%,15%,8.6%,5.9%,40.1%
25,Brockport Golden Eagles,26,9.1%,7.7,6.4,0.839,3.3,2,5.3,37%,39.9%,13.6%,19.6%,14.6%,41.7%
26,York (NY) Cardinals,18,9%,8.1,5,0.616,3.8,2,5.8,34.6%,35.6%,21.2%,8.2%,5.5%,31.5%
27,Salem State Vikings,12,9%,8.1,4.6,0.567,4.3,1.8,6,29.2%,31.9%,17.5%,9.3%,5.2%,26.8%
28,Albertus Magnus Falcons,27,8.9%,8.2,5.6,0.676,4,2.2,6.2,35.1%,36.9%,14.4%,14%,10.4%,35.1%
29,Lebanon Valley,28,8.9%,7.5,7.1,0.943,2.9,2.4,5.3,45%,48.7%,13.8%,17.1%,11%,45.2%
30,Franklin Grizzlies,25,8.9%,7.1,5.1,0.718,3.1,1.8,4.9,37.4%,38.6%,18.1%,13%,9.6%,36.7%
31,Austin College Roos,24,8.8%,8.1,6.8,0.835,3.3,2.5,5.8,42.9%,46.4%,17%,13.4%,11.3%,40.2%
32,Wheaton (IL),26,8.7%,7.1,6.2,0.875,3,2.2,5.2,41.8%,47.4%,15.8%,14.1%,9.8%,40.8%
33,UMass Dartmouth,13,8.6%,7.7,5.5,0.71,3.8,1.9,5.7,33.8%,37.2%,17%,14%,11%,32%
34,Elms,4,8.6%,7.8,2.5,0.323,4.5,0.3,4.8,5.3%,5.3%,19.4%,19.4%,19.4%,19.4%
35,Lewis & Clark Pioneers,26,8.6%,7.2,6.5,0.909,3.2,2.2,5.4,41.4%,45.4%,12.9%,14.5%,14%,42.5%
36,Dubuque,26,8.5%,7.2,6.2,0.866,3.2,2.3,5.5,42%,47.6%,15%,10.7%,8.6%,39.6%
37,Alvernia,25,8.5%,6.6,4.7,0.709,3.2,1.7,4.9,35.2%,36.9%,14.5%,14.5%,9.7%,35.2%
38,Fredonia State Blue Devils,24,8.5%,7.1,4.2,0.585,3.5,1.5,5,30.8%,32.1%,18.1%,14%,9.4%,29.2%
39,Principia Panthers,14,8.5%,6.7,5.1,0.755,2.9,1.8,4.6,38.5%,42.3%,20.2%,12.8%,10.6%,37.2%
40,Fairleigh Dickinson - Florham Devils,23,8.4%,7.1,5.2,0.736,3.2,1.9,5.1,36.8%,37.6%,14.1%,17.2%,14.7%,38.7%
41,Adrian,27,8.4%,6.3,5.3,0.83,2.4,2,4.4,45%,46.3%,15.8%,16.4%,13.5%,42.7%
42,Green Mountain,4,8.4%,7.5,4,0.533,3,1,4,25%,25%,23.3%,26.7%,23.3%,30%
43,Whitman Blues,31,8.3%,8.5,6.3,0.74,3.8,2.3,6.1,37%,39.7%,15.3%,13.4%,9.2%,36.3%
44,Lyndon State Hornets,7,8.2%,7.6,2.7,0.358,4.4,1.1,5.6,20.5%,21.8%,22.6%,3.8%,0%,17%
45,Concordia (TX) Tornadoes,27,8%,7.9,6,0.764,3.4,2,5.4,37.7%,40.8%,18.4%,17%,12.3%,36.8%
46,Wheelock,7,8%,7.1,4.6,0.64,3.3,1.4,4.7,30.3%,39.4%,24%,12%,8%,30%
47,UMass Boston Beacons,25,8%,6.8,5.3,0.782,3.2,2,5.2,38.5%,40.4%,12.4%,13.5%,8.8%,39.4%
48,City College of New York (CCNY) Beavers,20,8%,6.6,3.7,0.561,3.7,1.3,4.9,25.5%,29.6%,15.9%,11.4%,8.3%,26.5%
49,Howard Payne Yellow Jackets,28,7.9%,7.5,6.8,0.896,2.9,1.9,4.9,39.7%,47.1%,16.1%,22.3%,18.5%,41.7%
50,Aurora University,29,7.9%,6.7,6.4,0.959,2.4,2.2,4.6,47.8%,48.5%,14.4%,19.6%,17.5%,49.5%
51,Gustavus Adolphus,24,7.9%,6,4.5,0.738,3,1.8,4.7,37.2%,39.4%,15.9%,9%,8.3%,34.5%
52,Wooster Fighting Scots,28,7.9%,6.5,5.6,0.857,3,2.1,5.1,40.8%,45.1%,13.2%,11.5%,9.9%,40.1%
53,Plymouth State Panthers,13,7.9%,6.8,5,0.73,3.1,1.6,4.7,34.4%,38.5%,20.2%,16.9%,12.4%,33.7%
54,Wesley Wolverines,26,7.9%,6.5,4.5,0.682,3,1.6,4.6,34.5%,36.1%,18.8%,12.9%,11.2%,34.1%
55,Carthage Red Men,25,7.9%,6.3,5.1,0.804,2.9,1.6,4.6,36%,38.2%,15.2%,17.1%,15.8%,38.6%
56,Husson,24,7.8%,7,6.8,0.964,3.2,2.6,5.8,44.6%,47.8%,8.3%,12.4%,9.5%,45.6%
57,Becker,7,7.7%,6.7,4.9,0.723,3,1.9,4.9,38.2%,38.2%,14.9%,17%,14.9%,40.4%
58,Chatham University Cougars,25,7.7%,5.9,4.4,0.736,2.4,1.5,3.9,39.2%,39.7%,20.3%,18.2%,14.9%,37.2%
59,Martin Luther College Knights,24,7.7%,6.5,5.9,0.91,2.7,2.3,5,45.8%,47.9%,7.7%,17.4%,14.8%,46.5%
60,Emerson College Lions,26,7.7%,6.1,4.7,0.774,2.7,1.7,4.4,39.1%,43%,16.4%,11.9%,9.4%,38.4%
61,Rutgers-Newark Scarlet Raiders,22,7.6%,6.1,5.5,0.896,2.6,2,4.5,43%,46%,13.3%,14.1%,11.9%,43.7%
