#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,Abilene Christian Wildcats,32,100%,81,73.2,0.904,31.7,27.1,58.8,46.1%,51.7%,17.4%,12.4%,8.6%,41.9%
2,Academy of Art Urban Knights,26,100%,77.7,67.7,0.871,32.8,24,56.8,42.2%,47.5%,15.5%,13.4%,9.5%,40.9%
3,Acadia Axeman,32,100%,93.8,76.5,0.816,41.1,27.5,68.6,40.1%,46.3%,17.5%,10.9%,8.7%,37.6%
4,Adams State Grizzlies,32,100%,88,82.8,0.942,32.5,28.9,61.4,47%,52.9%,16.4%,16.2%,9.5%,44.6%
5,Adelphi University Panthers,29,100%,85.3,84.8,0.995,33.3,29.4,62.7,46.8%,56.3%,16.5%,12.4%,9.3%,43.3%
6,Adrian,27,100%,75.3,70.2,0.932,30.3,25,55.3,45.3%,51.8%,15.1%,13.8%,10.7%,43.2%
7,Air Force Falcons,31,100%,77.5,68.1,0.879,33.4,23.6,57,41.4%,48.4%,15.7%,12.8%,8.2%,39.6%
8,Akron Wayne Warriors,5,100%,93.6,60.4,0.645,43.2,23.8,67,35.5%,38.2%,21.2%,9.2%,8.1%,31.2%
9,Akron Zips,32,100%,78.9,71.2,0.902,32.6,24.7,57.3,43.1%,51.3%,17.2%,12.6%,8.8%,40.1%
10,Alabama A&M Bulldogs,27,100%,78.1,60.7,0.777,32.9,21.7,54.7,39.8%,45.4%,20.4%,11.6%,8.6%,35.8%
11,Alabama Crimson Tide,36,100%,79.8,71.8,0.9,30.2,25.2,55.4,45.5%,51.2%,17.4%,15.7%,11%,42.5%
12,Alabama Huntsville Chargers,28,100%,81.9,82.4,1.006,31.3,29,60.4,48.1%,58.2%,16.8%,10.8%,7.6%,43.8%
13,Alabama State Hornets,29,100%,84,67.3,0.801,36.6,23.6,60.2,39.2%,44.8%,16.8%,14%,9.3%,37.4%
14,Alaska-(Anchorage) Sea Wolves,29,100%,72.4,60.4,0.834,32.3,21.3,53.7,39.7%,44.9%,15.2%,12.4%,7.8%,39.1%
15,Alaska-(Fairbanks) Nanooks,26,100%,76.9,68.8,0.894,31.9,25.3,57.2,44.2%,52%,17.6%,9.8%,6.2%,39.5%
16,Albany Great Danes,32,100%,78.5,73.8,0.941,31.5,26.1,57.6,45.4%,50.3%,14.2%,14.9%,9.5%,44.4%
17,Albany State Golden Rams,28,100%,82.1,66.5,0.811,35.9,24.4,60.3,40.4%,45.5%,16%,12.2%,9.4%,38.2%
18,Alberta Golden Bears,30,100%,93.5,85.1,0.911,38.1,30.6,68.7,44.6%,51.6%,16.9%,12.2%,9%,41.4%
