#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,Anderson (IN) Ravens,27,2.6%,2,2.4,1.182,0.6,0.9,1.4,61.5%,67.9%,18.2%,10.9%,9.1%,54.5%
2,Roger Williams Hawks,27,1.7%,1.4,1.6,1.105,0.3,0.7,1,66.7%,68.5%,18.4%,15.8%,10.5%,55.3%
3,New England Nor easters,26,2.2%,2.4,2.5,1.048,0.9,0.9,1.8,50%,65.2%,20.6%,7.9%,4.8%,41.3%
4,Muskingum,25,9.8%,8.2,8.4,1.015,3.2,2.8,6,47.3%,54%,15%,13.6%,10.2%,46.6%
5,Western New Eng.,26,11.1%,9.4,9.5,1.004,3.5,3.7,7.2,51.1%,53.5%,13.5%,12.7%,10.2%,48.6%
6,Lyndon State Hornets,7,3.4%,3.1,3.1,1,1.1,1.1,2.3,50%,62.5%,13.6%,13.6%,13.6%,45.5%
7,Yeshiva Maccabees,11,0.4%,0.4,0.4,1,0.2,0.2,0.4,50%,50%,0%,25%,25%,50%
8,Gwynedd Mercy University Griffins,26,4.4%,3.6,3.5,0.989,1.1,1.3,2.3,54.1%,58.2%,21.5%,16.1%,10.8%,46.2%
9,Simpson (IA) Storm,26,8.8%,7,6.9,0.989,2.9,2.6,5.5,47.2%,52.8%,12.1%,9.9%,9.3%,45.6%
10,Pacific University Boxers,25,8%,7,6.9,0.983,2.7,2.6,5.3,48.9%,53.8%,15.3%,11.4%,9.7%,46%
11,Luther,25,13.9%,10.7,10.5,0.978,4.2,3.9,8.1,48%,50.5%,11.9%,15.3%,12.3%,48.5%
12,Framingham State Rams,9,6.9%,4.9,4.8,0.977,1.3,1.8,3.1,57.1%,66.1%,29.5%,11.4%,11.4%,43.2%
13,Ohio Wesleyan,28,20.7%,16.8,16.4,0.974,7.4,5.8,13.3,43.9%,51.5%,12.1%,11.3%,8.5%,42.8%
14,Alma Scots,26,8.5%,7,6.8,0.972,2.3,2.7,4.9,53.9%,59%,18.2%,12.2%,9.4%,47%
15,Nebraska Wesleyan Prairie Wolves,34,3.5%,3,2.9,0.971,1.2,1,2.2,46.1%,53.9%,15.7%,9.8%,7.8%,44.1%
16,Lakeland (WI) Muskies,26,7.9%,7.2,6.9,0.968,3.4,2.8,6.2,45%,48.8%,6.5%,9.7%,8.6%,46.2%
17,Albertus Magnus Falcons,27,6.9%,6.4,6.1,0.965,2.4,2.3,4.7,48.8%,53.9%,14.5%,15.1%,12.8%,44.8%
18,Johnson State,4,7.2%,6.5,6.3,0.962,2.3,2.3,4.5,50%,55.6%,7.7%,26.9%,23.1%,53.8%
19,Benedictine (IL) Eagles,26,12.7%,10.7,10.2,0.96,3.9,3.5,7.4,47.2%,53.6%,18.1%,14.1%,10.5%,44.8%
20,Thomas More Saints,28,3.6%,2.6,2.5,0.959,1.1,1,2.2,47.5%,51.6%,10.8%,8.1%,8.1%,44.6%
21,Grinnell,6,3.6%,4,3.8,0.958,1.8,1,2.8,35.3%,44.1%,8.3%,20.8%,20.8%,45.8%
22,Monmouth (IL),18,10.8%,8.6,8.2,0.955,3.6,2.9,6.6,44.9%,53.8%,14.8%,9.7%,8.4%,42.6%
23,William Paterson Pioneers,29,7.7%,6.6,6.2,0.953,2.7,2.3,5,46.5%,51.7%,14.7%,13.7%,11.1%,44.2%
24,Nichols,29,18.5%,16.3,15.4,0.945,7.4,5.3,12.7,41.6%,48.4%,12.1%,13.3%,10.6%,41.7%
25,George Fox Bruins,26,7%,6.2,5.8,0.944,2.8,2.2,5,43.4%,51.9%,13.7%,7.5%,6.2%,41%
26,Texas-(Tyler) Patriots,28,6.4%,5.8,5.4,0.944,2,2.2,4.3,52.1%,56.3%,19.3%,8.7%,7.5%,44.1%
27,Baldwin Wallace,27,22.7%,18.1,17.1,0.943,7.1,6.1,13.3,46.1%,52.1%,17.3%,13.1%,11%,42.7%
28,Carthage Red Men,25,9.4%,7.6,7.2,0.942,2.9,2.8,5.6,48.9%,53.5%,18.4%,11.1%,10.5%,43.2%
29,Drew Rangers,26,9.6%,8.2,7.7,0.939,3.3,2.5,5.8,43%,47.7%,15.6%,17%,12.3%,43.9%
30,Lawrence,15,10.8%,8.6,8.1,0.938,2.9,3.1,5.9,51.7%,55.1%,22.5%,13.2%,10.1%,44.2%
31,Hanover Panthers,29,25.1%,18.9,17.6,0.929,7.3,7,14.2,48.9%,52.5%,16.2%,10.9%,8.8%,44.3%
32,Neumann Knights,31,9.7%,8.4,7.7,0.92,3.8,2.9,6.7,42.8%,49%,12.3%,11.1%,9.6%,41.8%
33,Marietta Pioneers,28,14.2%,11.8,10.8,0.918,4.9,4,8.9,45.4%,50.4%,14.6%,10.9%,7.6%,43.2%
34,Roanoke Maroons,28,13.3%,10.1,9.3,0.918,3.8,3.3,7.1,46.2%,50.3%,17.4%,15.6%,12.4%,44%
35,Rose-Hulman,27,14%,10.7,9.9,0.917,3.5,3.4,6.9,48.9%,53.2%,21.7%,17.9%,13.4%,44.1%
36,Wisconsin-(Superior) Yellowjackets,27,17.6%,12.4,11.3,0.913,5.1,4.2,9.3,45.4%,47.8%,14.1%,13.5%,12.9%,44.6%
37,Whitworth Pirates,29,8.3%,7.1,6.4,0.912,2.8,2.5,5.3,46.8%,50.6%,16.6%,11.7%,9.3%,43.4%
38,Chapman University Panthers,26,7.8%,5.9,5.4,0.909,2,1.8,3.9,47.5%,51%,20.1%,16.9%,14.9%,45.5%
39,Dean College Bulldogs,8,13.9%,12.1,11,0.907,5.6,3.6,9.3,39.2%,45.3%,12.4%,14.4%,9.3%,40.2%
40,Transylvania University Pioneers,26,9.2%,7.9,7.2,0.907,2.8,2.4,5.3,46%,48.9%,16.6%,21.5%,15.1%,43.9%
41,College of New Jersey Lions,27,9.9%,8.2,7.4,0.905,2.9,2.4,5.3,44.8%,50%,18.1%,19.9%,12.7%,43.4%
42,Union (NY) Dutchmen,27,12.3%,10.6,9.6,0.905,4.7,3.4,8.1,42.3%,46.8%,12.6%,11.9%,9.1%,42.1%
43,Wisconsin-(Platteville) Pioneers,29,9.1%,6.9,6.3,0.905,2.5,2.6,5,50.7%,53.1%,18.4%,12.4%,10%,43.3%
44,LeTourneau Yellow Jackets,31,9.7%,8.8,7.9,0.904,3.8,3,6.8,44.3%,49.8%,15.1%,11%,8.1%,40.8%
45,Mount Union Raiders,26,15.7%,12.9,11.7,0.904,5.8,3.8,9.6,39.4%,45.6%,14%,14.6%,11%,40.6%
46,Maryville (TN) Scots,29,5.7%,4.9,4.4,0.902,2.3,1.6,3.9,40.2%,46%,10.5%,12.6%,9.1%,42%
47,Hamline Pipers,25,17%,12.9,11.6,0.901,5.3,4.5,9.8,45.7%,50.8%,16.7%,9.3%,7.7%,41.5%
48,Dubuque,26,13.4%,11.3,10.2,0.898,4.9,3.5,8.4,41.6%,48.6%,15.6%,12.9%,11.2%,40.1%
49,John Carroll University Blue Streaks,31,6.4%,6.4,5.7,0.894,2.8,2.2,5,44.5%,49.7%,13.6%,9.6%,6.6%,41.9%
50,Lancaster Bible Chargers,28,4.4%,3.9,3.5,0.891,1.4,1.2,2.6,45.9%,48.6%,20%,18.2%,13.6%,42.7%
