Team_Average_Stats_ID,Team_ID,Format_ID,Category_ID,Element_ID, %Time,Poss,Points,PPP,Rank,Rating,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,13,1,1,523,1,2077,1807,0.87,0.43,Average,896,649,1545,0.42,0.482,0.155,0.122,0.078,0.398
2,13,1,1,518,0.136,283,291,1.028,0.72,Very Good,117,98,215,0.456,0.528,0.117,0.17,0.138,0.456
3,13,1,1,220,0.864,1794,1516,0.845,0.43,Average,779,551,1330,0.414,0.475,0.161,0.114,0.069,0.389
4,13,1,1,494,0.038,79,48,0.608,0.3,Below Average,50,19,69,0.275,0.333,0.114,0.025,0.013,0.253
5,13,1,1,217,0.082,148,120,0.811,0.4,Average,69,46,115,0.4,0.461,0.149,0.108,0.081,0.372
6,13,1,1,218,0.037,66,58,0.879,0.69,Very Good,24,20,44,0.455,0.489,0.182,0.167,0.136,0.439
7,13,1,1,1,0.106,190,150,0.789,0.34,Average,86,54,140,0.386,0.429,0.168,0.111,0.058,0.374
8,13,1,1,2,0.86,1543,1304,0.845,0.46,Average,662,468,1130,0.414,0.475,0.165,0.119,0.067,0.39
9,13,1,1,3,0.14,251,212,0.845,0.32,Average,117,83,200,0.415,0.473,0.135,0.088,0.08,0.382
10,13,1,1,524,0.047,85,66,0.776,0.35,Average,34,20,54,0.37,0.426,0.235,0.141,0.059,0.365
11,13,1,2,495,0.315,654,598,0.914,0.51,Good,364,205,569,0.36,0.479,0.078,0.061,0.05,0.359
12,13,1,2,387,0.154,320,267,0.834,0.48,Average,111,107,218,0.491,0.491,0.191,0.15,0.078,0.434
13,13,1,2,518,0.136,283,291,1.028,0.72,Very Good,117,98,215,0.456,0.528,0.117,0.17,0.138,0.456
14,13,1,2,216,0.075,155,188,1.213,0.9,Excellent,45,76,121,0.628,0.636,0.071,0.174,0.129,0.613
15,13,1,2,9,0.066,138,150,1.087,0.55,Good,49,64,113,0.566,0.566,0.058,0.145,0.145,0.572
16,13,1,2,379,0.054,112,86,0.768,0.53,Good,57,31,88,0.352,0.386,0.107,0.143,0.098,0.348
17,13,1,2,215,0.043,90,64,0.711,0.18,Below Average,53,25,78,0.321,0.378,0.1,0.044,0.044,0.311
18,13,1,2,109,0.043,89,53,0.596,0.1,Poor,43,21,64,0.328,0.344,0.202,0.101,0.045,0.292
19,13,1,2,68,0.017,36,30,0.833,0.59,Good,17,11,28,0.393,0.464,0.139,0.083,0.056,0.389
20,13,1,2,383,0.014,29,11,0.379,0,Poor,22,4,26,0.154,0.212,0.103,0,0,0.138
21,13,1,2,214,0.082,171,69,0.404,0.28,Below Average,18,7,25,0.28,0.28,0.643,0.222,0.029,0.228
22,13,1,3,112,0.065,135,108,0.8,0.4,Average,67,38,105,0.362,0.429,0.141,0.096,0.059,0.348
23,13,1,3,385,0.105,218,167,0.766,0.23,Below Average,123,60,183,0.328,0.383,0.078,0.101,0.069,0.339
24,13,1,3,393,0.227,472,426,0.903,0.59,Good,188,163,351,0.464,0.519,0.155,0.117,0.068,0.426
25,13,1,4,108,0.022,46,55,1.196,0.87,Excellent,24,17,41,0.415,0.561,0.022,0.087,0.087,0.457
26,13,1,4,377,0.056,117,83,0.709,0.22,Below Average,66,29,95,0.305,0.379,0.128,0.06,0.034,0.308
27,13,1,4,388,0.073,152,159,1.046,0.54,Good,77,56,133,0.421,0.564,0.079,0.046,0.046,0.408
28,13,1,5,378,0.003,7,0,0,-,-,5,0,5,0,0,0.286,0,0,0
29,13,1,5,389,0.058,121,97,0.802,0.51,Good,51,35,86,0.407,0.535,0.24,0.05,0.05,0.331
30,13,1,7,8,0.349,464,453,0.976,0.33,Average,309,155,464,0.334,0.488,0,0.004,0.004,0.334
31,13,1,7,67,0.595,276,266,0.964,0.46,Average,185,91,276,0.33,0.482,0,0.004,0.004,0.33
32,13,1,7,520,0.405,188,187,0.995,0.25,Below Average,124,64,188,0.34,0.497,0,0.005,0.005,0.34
33,13,1,8,4,0.147,196,151,0.77,0.5,Average,129,67,196,0.342,0.38,0,0.01,0.01,0.342
34,13,1,9,492,0.163,113,79,0.699,0.35,Average,74,39,113,0.345,0.345,0,0.009,0.009,0.345
35,13,1,9,213,0.116,80,69,0.863,0.87,Excellent,46,34,80,0.425,0.425,0,0.013,0.013,0.425
36,13,1,9,210,0.721,499,483,0.968,0.32,Average,338,161,499,0.323,0.484,0,0.004,0.004,0.323
37,13,2,30,523,1,1990,1933,0.971,0.06,Poor,776,681,1457,0.467,0.543,0.156,0.133,0.082,0.439
38,13,2,30,518,0.142,283,263,0.929,0.75,Very Good,112,95,207,0.459,0.524,0.17,0.124,0.102,0.428
39,13,2,30,220,0.858,1707,1670,0.978,0.03,Poor,664,586,1250,0.469,0.546,0.154,0.135,0.079,0.441
40,13,2,30,494,0.051,102,78,0.765,0.33,Average,59,29,88,0.33,0.381,0.059,0.078,0.029,0.343
41,13,2,30,217,0.084,144,143,0.993,0.1,Poor,61,54,115,0.47,0.522,0.118,0.118,0.097,0.451
42,13,2,30,218,0.04,69,58,0.841,0.45,Average,30,21,51,0.412,0.48,0.174,0.087,0.029,0.377
43,13,2,30,1,0.108,184,185,1.005,0.06,Poor,76,64,140,0.457,0.543,0.141,0.12,0.06,0.446
44,13,2,30,212,0.992,1693,1653,0.976,0.03,Poor,659,581,1240,0.469,0.544,0.154,0.135,0.079,0.44
45,13,2,30,522,0.008,14,17,1.214,0.04,Poor,5,5,10,0.5,0.7,0.143,0.143,0.071,0.5
46,13,2,30,525,0.012,21,22,1.048,0.13,Poor,5,3,8,0.375,0.375,0.19,0.429,0,0.571
47,13,2,2,495,0.284,566,558,0.986,0.22,Below Average,290,195,485,0.402,0.534,0.099,0.055,0.041,0.385
48,13,2,2,518,0.142,283,263,0.929,0.75,Very Good,112,95,207,0.459,0.524,0.17,0.124,0.102,0.428
49,13,2,2,379,0.101,201,175,0.871,0.15,Below Average,75,67,142,0.472,0.504,0.209,0.109,0.065,0.408
50,13,2,2,387,0.082,164,173,1.055,0.03,Poor,56,68,124,0.548,0.548,0.11,0.152,0.11,0.537
51,13,2,2,215,0.078,155,166,1.071,0.12,Poor,60,58,118,0.492,0.585,0.129,0.135,0.097,0.477
52,13,2,2,9,0.071,141,158,1.121,0.41,Average,46,62,108,0.574,0.574,0.106,0.156,0.142,0.553
53,13,2,2,109,0.048,95,86,0.905,0.19,Below Average,28,32,60,0.533,0.583,0.242,0.158,0.116,0.432
54,13,2,2,383,0.045,89,73,0.82,0.81,Very Good,41,30,71,0.423,0.479,0.124,0.101,0.056,0.382
55,13,2,2,216,0.045,89,111,1.247,0.04,Poor,24,39,63,0.619,0.627,0.067,0.292,0.247,0.629
56,13,2,2,68,0.037,73,81,1.11,0.03,Poor,34,29,63,0.46,0.595,0.082,0.068,0.055,0.452
57,13,2,2,214,0.067,134,89,0.664,0.05,Poor,10,6,16,0.375,0.406,0.493,0.403,0.022,0.358
58,13,2,3,112,0.063,125,105,0.84,0.52,Good,50,39,89,0.438,0.5,0.192,0.12,0.088,0.384
59,13,2,3,385,0.216,429,376,0.876,0.39,Average,192,139,331,0.42,0.491,0.154,0.093,0.061,0.385
60,13,2,3,393,0.106,210,233,1.11,0.02,Poor,74,91,165,0.552,0.591,0.105,0.124,0.09,0.533
61,13,2,4,108,0.015,30,19,0.633,0.93,Excellent,22,7,29,0.241,0.328,0.033,0,0,0.233
62,13,2,4,377,0.135,268,215,0.802,0.61,Good,117,72,189,0.381,0.481,0.209,0.097,0.049,0.336
63,13,2,4,388,0.023,46,60,1.304,0.09,Poor,18,23,41,0.561,0.72,0.087,0.022,0.022,0.522
64,13,2,5,378,0.004,7,7,1,-,-,1,1,2,0.5,0.5,0.286,0.429,0,0.571
65,13,2,5,389,0.017,34,34,1,0.19,Below Average,9,14,23,0.609,0.717,0.294,0.029,0.029,0.441
66,13,2,7,8,0.369,461,540,1.171,0.09,Poor,274,187,461,0.406,0.585,0,0.002,0.002,0.406
67,13,2,7,67,0.638,294,347,1.18,0.04,Poor,174,120,294,0.408,0.588,0,0.003,0.003,0.408
68,13,2,7,520,0.362,167,193,1.156,0.34,Average,100,67,167,0.401,0.578,0,0,0,0.401
69,13,2,8,4,0.171,214,181,0.846,0.28,Below Average,135,79,214,0.369,0.421,0,0.005,0.005,0.369
70,13,2,9,492,0.146,102,77,0.755,0.54,Good,64,38,102,0.373,0.373,0,0.01,0.01,0.373
71,13,2,9,213,0.146,102,95,0.931,0.05,Poor,55,47,102,0.461,0.461,0,0.01,0.01,0.461
72,13,2,9,210,0.708,495,577,1.166,0.08,Poor,303,192,495,0.388,0.582,0,0.002,0.002,0.388
73,7,1,1,523,1,2011,1863,0.926,0.74,Very Good,813,655,1468,0.446,0.511,0.156,0.145,0.109,0.426
74,7,1,1,518,0.103,208,243,1.168,0.97,Excellent,71,83,154,0.539,0.591,0.106,0.236,0.221,0.534
75,7,1,1,220,0.897,1803,1620,0.899,0.71,Very Good,742,572,1314,0.435,0.501,0.162,0.135,0.096,0.414
76,7,1,1,494,0.058,116,103,0.888,0.95,Excellent,59,37,96,0.385,0.474,0.103,0.069,0.043,0.379
77,7,1,1,217,0.075,136,95,0.699,0.16,Below Average,64,34,98,0.347,0.408,0.206,0.096,0.081,0.309
78,7,1,1,218,0.032,58,44,0.759,0.37,Average,28,14,42,0.333,0.369,0.103,0.172,0.155,0.379
79,7,1,1,1,0.128,231,196,0.848,0.52,Good,108,72,180,0.4,0.453,0.134,0.113,0.082,0.398
80,7,1,1,2,0.925,1667,1498,0.899,0.72,Very Good,679,530,1209,0.438,0.502,0.166,0.136,0.098,0.415
81,7,1,1,3,0.075,136,122,0.897,0.47,Average,63,42,105,0.4,0.486,0.11,0.118,0.066,0.404
82,7,1,1,524,0.069,124,110,0.887,0.68,Very Good,44,37,81,0.457,0.531,0.21,0.153,0.073,0.419
83,7,1,2,495,0.245,492,486,0.988,0.78,Very Good,273,163,436,0.374,0.51,0.065,0.065,0.057,0.378
84,7,1,2,387,0.133,268,254,0.948,0.82,Very Good,98,107,205,0.522,0.522,0.127,0.153,0.108,0.485
85,7,1,2,518,0.103,208,243,1.168,0.97,Excellent,71,83,154,0.539,0.591,0.106,0.236,0.221,0.534
86,7,1,2,215,0.095,191,160,0.838,0.39,Average,98,57,155,0.368,0.455,0.136,0.063,0.047,0.351
87,7,1,2,379,0.094,190,179,0.942,0.94,Excellent,72,69,141,0.489,0.535,0.184,0.111,0.105,0.432
88,7,1,2,109,0.079,158,127,0.804,0.55,Good,73,41,114,0.36,0.382,0.152,0.171,0.158,0.386
89,7,1,2,9,0.069,139,149,1.072,0.48,Average,42,58,100,0.58,0.58,0.094,0.201,0.18,0.59
90,7,1,2,216,0.062,125,142,1.136,0.79,Very Good,38,52,90,0.578,0.589,0.088,0.248,0.224,0.584
91,7,1,2,383,0.028,57,44,0.772,0.2,Below Average,29,17,46,0.37,0.424,0.123,0.088,0.088,0.351
92,7,1,2,68,0.01,20,14,0.7,0.28,Below Average,12,5,17,0.294,0.353,0.1,0.05,0.05,0.3
93,7,1,2,214,0.081,163,65,0.399,0.26,Below Average,7,3,10,0.3,0.3,0.663,0.276,0.018,0.239
94,7,1,3,112,0.1,201,176,0.876,0.66,Very Good,91,59,150,0.393,0.433,0.134,0.159,0.144,0.413
95,7,1,3,385,0.167,336,298,0.887,0.69,Very Good,152,111,263,0.422,0.481,0.146,0.104,0.095,0.396
96,7,1,3,393,0.177,355,357,1.006,0.88,Excellent,136,141,277,0.509,0.552,0.121,0.138,0.104,0.479
97,7,1,4,108,0.021,43,49,1.14,0.8,Very Good,18,18,36,0.5,0.597,0.07,0.116,0.093,0.512
98,7,1,4,377,0.085,171,119,0.696,0.18,Below Average,80,42,122,0.344,0.418,0.228,0.082,0.07,0.298
99,7,1,4,388,0.043,87,103,1.184,0.81,Very Good,38,34,72,0.472,0.639,0.103,0.092,0.092,0.46
100,7,1,5,378,0.003,6,6,1,-,-,1,3,4,0.75,0.75,0.333,0,0,0.5
101,7,1,5,389,0.031,62,59,0.952,0.74,Very Good,24,19,43,0.442,0.547,0.21,0.129,0.113,0.403
102,7,1,7,8,0.333,438,442,1.009,0.46,Average,290,148,438,0.338,0.505,0,0.002,0.002,0.338
