team_name,player_name,gp,team_ast,team_fg,team_id,player_id,MP,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK,pace_factor
Albion,Adam_Davis,18,15,27,13,1,11.6111,3,0.22,0.44,0.56,1,0.78,2.5,0.28,1.28,1.06,1.72,0.5,1.22,0.06,88.41304348
Albion,Aquavius_Burks,23,15,27,13,2,17.3478,5.87,0.65,1.48,1.43,2,1.22,5.04,0.48,1.48,1.83,3,0.65,2.35,0,88.41304348
Albion,Arshawn_Parker,18,15,27,13,3,10.6667,4.78,0.83,0.78,0.5,1.61,0.72,4.28,0.33,0.39,0.94,0.89,0.22,0.67,0,88.41304348
Albion,Austin_Thompson,5,15,27,13,4,2.6,0.4,0,0.6,0,0,0.4,0.2,0,0.2,0.4,0.2,0,0.2,0,88.41304348
Albion,Caden_Ebeling,25,15,27,13,5,14.84,5.48,0.32,0.64,0.8,2.04,1.08,5.32,0.08,1.84,1.4,3.84,1.16,2.68,0.12,88.41304348
Albion,Corey_Wheeler,22,15,27,13,6,23.6364,13.14,0.86,2.64,1.77,4.41,3.45,9.55,0.95,1.95,4.68,4.68,1.5,3.18,0.18,88.41304348
Albion,Dylan_Bennett,19,15,27,13,7,14.8421,2.95,0.89,0.47,0.21,1,0.05,3,0.32,1.42,0.11,1.26,0,1.26,0.05,88.41304348
Albion,Jaylen_Fordham,25,15,27,13,9,18.48,6.52,1.36,1.52,1.72,2.28,0.6,5.92,0.32,2.08,0.88,3.76,0.68,3.08,0.2,88.41304348
Albion,Juwan_Perry,14,15,27,13,10,11.9286,5,0.64,1.07,0.79,1.71,0.93,3.86,0.21,1.36,1.5,1,0.43,0.57,0,88.41304348
Albion,Nathaniel_Collins,20,15,27,13,11,19.2,8.5,1.15,0.7,1.05,2.8,1.75,6.9,0.5,2.1,2.3,1.85,0.2,1.65,0.15,88.41304348
Albion,Nathan_Kellum,17,15,27,13,12,6.7647,1.59,0,0.18,0.53,0.65,0.29,1.53,0.29,0.47,0.41,1.12,0.29,0.82,0.41,88.41304348
Albion,Ojani_Echevarria,6,15,27,13,13,8.1667,1.5,0.5,0.67,0.67,0.5,0,2.33,0.17,0.33,0,1.5,0.5,1,0,88.41304348
Albion,Quinton_Armstrong,23,15,27,13,14,16.913,8.43,0.26,0.57,1.22,3.7,0.78,6.78,0.17,2.09,1.52,4.48,2.04,2.43,0.7,88.41304348
Albion,Robert_Ryan,25,15,27,13,15,18.04,3.56,0.52,2.12,1.28,1,1.04,3.32,0.48,1.04,1.32,1.6,0.44,1.16,0,88.41304348
Albion,Ryan_Lowe,23,15,27,13,16,14.3913,7.17,0,0.96,1.22,3,1.17,4.43,0.17,2.35,1.91,5,1.91,3.09,0.35,88.41304348
Carthage,Adam_Radcliffe,5,13,26,7,17,2.2,0.4,0,0,0,0.2,0,0.6,0,0.2,0.2,0,0,0,0,80.44
Carthage,Brad_Kruse,25,13,26,7,18,36.76,16.12,1.2,2.92,2.48,5.96,3,10.52,2.08,2.44,4.48,7.12,2.64,4.48,1.48,80.44
Carthage,Brad_Perry,25,13,26,7,19,23.52,10.04,0,0.6,1.72,4.4,1.24,7.8,0.28,2.16,2.36,5.92,1.32,4.6,1.64,80.44
Carthage,Dan_Messina,5,13,26,7,21,1.8,0.4,0,0.2,0.2,0,0.4,0.4,0,0,0.4,0.2,0,0.2,0,80.44
Carthage,Derek_Mason_II,24,13,26,7,22,23.5833,8.88,1.13,1.79,2.25,3,1.75,8,0.92,2.67,2.08,1.58,0.46,1.13,0.08,80.44
Carthage,Dimitrije_Kastratovic,8,13,26,7,23,3,0,0,0,0.38,0,0,0,0,0.25,0,0.38,0,0.38,0,80.44
Carthage,Jacob_Polglase,13,13,26,7,24,9.3077,2.23,0.54,0.62,0.15,0.69,0.31,2.38,0.15,0.38,0.54,1.31,0.23,1.08,0,80.44
Carthage,Jordan_Thomas,24,13,26,7,25,33.9167,17.75,2.63,2.13,1.21,5.75,3.63,13.33,0.96,1.42,4.21,5.5,0.96,4.54,0,80.44
